ParName   Value   Gradient
af     -5.17693 -8.53917e-005
am     -5.71643  0.000649802
bf      1.52979 -0.000260604
bm      1.53865   0.00179051
b1      1.14648  0.000279503
bf1            1 -9.32978e-006
deltam      32.1901  0.000311464
deltaf      34.5166 -4.03307e-005
mateste(1)     -5.18946 -1.6885e-006
mateste(2)     -4.65675 -5.31316e-007
mateste(3)     -4.12403 4.41773e-007
mateste(4)     -3.59302 -1.72665e-006
mateste(5)     -3.07961 -9.27537e-006
mateste(6)     -2.61767 -1.90666e-005
mateste(7)     -2.23937 -2.97298e-005
mateste(8)     -1.95839 -3.91189e-005
mateste(9)     -1.77805 -4.41424e-005
mateste(10)     -1.65886 -4.9445e-005
mateste(11)     -1.59598 -5.14434e-005
mateste(12)      -1.5757 -5.20009e-005
mateste(13)      -1.5145 -5.59373e-005
mateste(14)     -1.33325 -5.96264e-005
mateste(15)    -0.978178 -5.14752e-005
mateste(16)     -0.44752 -3.00762e-005
mateste(17)   -0.0255808 -2.39425e-006
matestfe(1)     -5.32007 2.91975e-006
matestfe(2)     -4.09367 -3.82943e-006
matestfe(3)     -2.86824 -8.81295e-006
matestfe(4)     -1.66806 -3.91824e-006
matestfe(5)     -0.65108 -1.74069e-006
matestfe(6)    -0.183116 1.92562e-006
matestfe(7)    -0.168784 1.15268e-005
matestfe(8)   -0.0369471 1.64401e-005
mean_log_rec1      13.7695  0.000163336
rec_devf(1978)     0.738728 -5.89358e-005
rec_devf(1979)     0.394245 -6.77884e-005
rec_devf(1980)    -0.125824 -8.45997e-005
rec_devf(1981)      -1.1688 -9.69137e-005
rec_devf(1982)     0.251828 -5.97281e-005
rec_devf(1983)     0.792078 3.39024e-005
rec_devf(1984)      1.00346  0.000170324
rec_devf(1985)      1.90421  0.000806976
rec_devf(1986)     0.230201 9.30067e-005
rec_devf(1987)      1.76603  0.000537986
rec_devf(1988)     -1.25671 -8.4743e-005
rec_devf(1989)    -0.339004 -6.76241e-005
rec_devf(1990)    -0.409861 -4.76196e-005
rec_devf(1991)      1.91053  0.000816181
rec_devf(1992)      1.12601  0.000309877
rec_devf(1993)    -0.151425 -5.19544e-005
rec_devf(1994)     -1.15099 -0.000101458
rec_devf(1995)     -1.95128 -0.000100691
rec_devf(1996)     -1.57108 -0.000103622
rec_devf(1997)    -0.134546 -0.000105979
rec_devf(1998)     0.178224 -8.44163e-005
rec_devf(1999)     -1.00957 -9.07981e-005
rec_devf(2000)     -1.13537 -9.49082e-005
rec_devf(2001)    -0.383447 -9.82651e-005
rec_devf(2002)      0.39206 -8.80889e-005
rec_devf(2003)     0.846951 -6.18923e-005
rec_devf(2004)   -0.0602182 -7.86813e-005
rec_devf(2005)     0.169966 -7.06011e-005
rec_devf(2006)     -1.77181 -9.47601e-005
rec_devf(2007)     -1.42936 -9.40502e-005
rec_devf(2008)     0.190932 -7.15783e-005
rec_devf(2009)    0.0087104 -9.90195e-005
rec_devf(2010)    -0.835106 -0.000102165
rec_devf(2011)   0.00824775 -0.000103438
rec_devf(2012)    0.0233476 -0.000100978
rec_devf(2013)    -0.396672  -0.00010157
rec_devf(2014)      1.20868 -0.000101524
rec_devf(2015)      2.13663 -9.93097e-005
rec_devf(2016) -1.13963e-007 -0.000103811
mnatlen_styr(1,1)      13.6922  4.1378e-006
mnatlen_styr(1,2)       14.184 3.84914e-006
mnatlen_styr(1,3)      13.5407 -1.28582e-006
mnatlen_styr(1,4)      12.4192 5.28541e-006
mnatlen_styr(1,5)      12.0726 2.50634e-006
mnatlen_styr(1,6)      11.3144 -1.1075e-005
mnatlen_styr(1,7)       10.425 7.91736e-006
mnatlen_styr(1,8)       9.9017 -2.78026e-007
mnatlen_styr(1,9)      9.71451 -3.57451e-006
mnatlen_styr(1,10)      9.66461  3.1864e-006
mnatlen_styr(1,11)      9.44668 3.46923e-006
mnatlen_styr(1,12)       9.2046 -6.52193e-006
mnatlen_styr(1,13)      9.15222 2.66391e-006
mnatlen_styr(1,14)      9.59897 5.28883e-006
mnatlen_styr(1,15)       10.371 -1.41102e-005
mnatlen_styr(1,16)      9.86989 -5.08722e-006
mnatlen_styr(1,17)      8.85503 -3.81188e-007
mnatlen_styr(1,18)      7.93863 4.45509e-006
mnatlen_styr(1,19)      7.20381 -5.58943e-006
mnatlen_styr(1,20)      6.69421 6.64731e-007
mnatlen_styr(1,21)       6.3742 1.31182e-006
mnatlen_styr(1,22)      6.22992 -1.17463e-006
mnatlen_styr(2,1)      2.67208 3.00745e-006
mnatlen_styr(2,2)      3.81548 1.01784e-006
mnatlen_styr(2,3)      4.95887 2.11272e-006
mnatlen_styr(2,4)       6.1021 1.02923e-007
mnatlen_styr(2,5)      7.24378 4.83059e-007
mnatlen_styr(2,6)      8.37282 2.56846e-011
mnatlen_styr(2,7)      9.38894 9.37725e-007
mnatlen_styr(2,8)      10.2158 2.40096e-006
mnatlen_styr(2,9)      10.8159 1.26122e-006
mnatlen_styr(2,10)      11.1974 -2.76654e-007
mnatlen_styr(2,11)       11.365 1.43067e-006
mnatlen_styr(2,12)      11.3368 2.12238e-006
mnatlen_styr(2,13)      11.1372 4.07743e-007
mnatlen_styr(2,14)      10.7987 -7.93231e-007
mnatlen_styr(2,15)      10.4062 7.04867e-008
mnatlen_styr(2,16)       10.153 -1.09831e-006
mnatlen_styr(2,17)      10.1307 -3.59813e-006
mnatlen_styr(2,18)      10.1978 -5.94134e-006
mnatlen_styr(2,19)       10.069 -4.94274e-006
mnatlen_styr(2,20)      9.62314 -3.78364e-006
mnatlen_styr(2,21)      8.91879 -8.24871e-007
mnatlen_styr(2,22)      8.11312 2.03574e-006
fnatlen_styr(1,1)      14.1736 -1.44035e-008
fnatlen_styr(1,2)      14.8452  1.7168e-006
fnatlen_styr(1,3)      13.5198 -2.22985e-006
fnatlen_styr(1,4)      12.4442 1.28297e-005
fnatlen_styr(1,5)      13.0001 -3.07055e-006
fnatlen_styr(1,6)      13.2965 -1.98181e-006
fnatlen_styr(1,7)      12.4911 2.50835e-006
fnatlen_styr(1,8)      11.5709 3.89666e-006
fnatlen_styr(1,9)      10.3489 2.53971e-006
