theta1 theta2 thetaminus1 thetaminus2 thetaplus1 thetaplus2 rminus1 rminus2 rplus1 rplus2 alpha divergent nfevals v nprime logu
 0 0 0 0 0 0 0.201514 -0.497007 0.201514 -0.497007 0 0 0 0 0 -0.836959
 0.0201514 -0.0497007 0.0201514 -0.0497007 0.0201514 -0.0497007 0.201521 -0.49462 0.201521 -0.49462 0.999973 0 1 1 1 -0.836959
 -0.0201514 0.0497007 -0.0201514 0.0497007 -0.0201514 0.0497007 0.201273 -0.49442 0.201273 -0.49442 1 0 2 -1 1 -0.836959
 -0.0402547 0.0988839 -0.0402547 0.0988839 -0.0402547 0.0988839 0.200279 -0.486474 0.200279 -0.486474 1 0 3 -1 1 -0.836959
 0.0403041 -0.098924 0.0403041 -0.098924 0.0403041 -0.098924 0.201755 -0.48767 0.201755 -0.48767 0.999944 0 4 1 1 -0.836959
 0.0605024 -0.147235 0.0605024 -0.147235 0.0605024 -0.147235 0.202607 -0.476584 0.202607 -0.476584 0.999914 0 5 1 1 -0.836959
 0.0808255 -0.194241 0.0808255 -0.194241 0.0808255 -0.194241 0.204387 -0.461799 0.204387 -0.461799 0.999884 0 6 1 1 -0.836959
 0.10138 -0.239594 0.10138 -0.239594 0.10138 -0.239594 0.207323 -0.443755 0.207323 -0.443755 0.999855 0 7 1 1 -0.836959
 -0.0602073 0.146995 -0.0602073 0.146995 -0.0602073 0.146995 0.197973 -0.472825 0.197973 -0.472825 1 0 8 -1 1 -0.836959
 -0.0798492 0.193449 -0.0798492 0.193449 -0.0798492 0.193449 0.193781 -0.453187 0.193781 -0.453187 1 0 9 -1 1 -0.836959
 -0.0989635 0.237633 -0.0989635 0.237633 -0.0989635 0.237633 0.187151 -0.427358 0.187151 -0.427358 1 0 10 -1 1 -0.836959
 -0.117279 0.27892 -0.117279 0.27892 -0.117279 0.27892 0.17759 -0.395243 0.17759 -0.395243 0.999989 0 11 -1 1 -0.836959
 -0.134481 0.316681 -0.134481 0.316681 -0.134481 0.316681 0.164711 -0.356889 0.164711 -0.356889 0.999939 0 12 -1 1 -0.836959
 -0.150222 0.350298 -0.150222 0.350298 -0.150222 0.350298 0.148282 -0.312516 0.148282 -0.312516 0.999875 0 13 -1 1 -0.836959
 -0.164138 0.379184 -0.164138 0.379184 -0.164138 0.379184 0.128268 -0.262536 0.128268 -0.262536 0.999801 0 14 -1 1 -0.836959
 -0.175875 0.402805 -0.175875 0.402805 -0.175875 0.402805 0.104864 -0.20758 0.104864 -0.20758 0.999725 0 15 -1 1 -0.836959
 0.12229 -0.282992 0.12229 -0.282992 0.12229 -0.282992 0.211559 -0.422895 0.211559 -0.422895 0.999828 0 16 1 1 -0.836959
 0.143692 -0.324173 0.143692 -0.324173 0.143692 -0.324173 0.217159 -0.399655 0.217159 -0.399655 0.999804 0 17 1 1 -0.836959
 0.165722 -0.362923 0.165722 -0.362923 0.165722 -0.362923 0.22411 -0.374468 0.22411 -0.374468 0.999783 0 18 1 1 -0.836959
 0.188513 -0.399067 0.188513 -0.399067 0.188513 -0.399067 0.232331 -0.347755 0.232331 -0.347755 0.999766 0 19 1 1 -0.836959
 0.212188 -0.432474 0.212188 -0.432474 0.212188 -0.432474 0.241684 -0.319923 0.241684 -0.319923 0.999753 0 20 1 1 -0.836959
 0.23685 -0.463052 0.23685 -0.463052 0.23685 -0.463052 0.251983 -0.291361 0.251983 -0.291361 0.999744 0 21 1 1 -0.836959
 0.262585 -0.490746 0.262585 -0.490746 0.262585 -0.490746 0.263006 -0.262431 0.263006 -0.262431 0.99974 0 22 1 1 -0.836959
 0.289452 -0.515538 0.289452 -0.515538 0.289452 -0.515538 0.27451 -0.23347 0.27451 -0.23347 0.999739 0 23 1 1 -0.836959
 0.317487 -0.53744 0.317487 -0.53744 0.317487 -0.53744 0.28624 -0.204781 0.28624 -0.204781 0.999742 0 24 1 1 -0.836959
 0.3467 -0.556494 0.3467 -0.556494 0.3467 -0.556494 0.297944 -0.176631 0.297944 -0.176631 0.999747 0 25 1 1 -0.836959
 0.377076 -0.572766 0.377076 -0.572766 0.377076 -0.572766 0.30938 -0.149251 0.30938 -0.149251 0.999755 0 26 1 1 -0.836959
 0.408576 -0.586344 0.408576 -0.586344 0.408576 -0.586344 0.320324 -0.12283 0.320324 -0.12283 0.999764 0 27 1 1 -0.836959
 0.44114 -0.597332 0.44114 -0.597332 0.44114 -0.597332 0.330579 -0.0975209 0.330579 -0.0975209 0.999774 0 28 1 1 -0.836959
 0.474691 -0.605848 0.474691 -0.605848 0.474691 -0.605848 0.339976 -0.0734384 0.339976 -0.0734384 0.999784 0 29 1 1 -0.836959
 0.509135 -0.61202 0.509135 -0.61202 0.509135 -0.61202 0.348377 -0.0506622 0.348377 -0.0506622 0.999794 0 30 1 1 -0.836959
 0.544367 -0.615981 0.544367 -0.615981 0.544367 -0.615981 0.355676 -0.0292402 0.355676 -0.0292402 0.999802 0 31 1 1 -0.836959
 -0.185111 0.4207 -0.185111 0.4207 -0.185111 0.4207 0.0785112 -0.148489 0.0785112 -0.148489 0.999657 0 32 -1 1 -0.836959
 -0.191577 0.432503 -0.191577 0.432503 -0.191577 0.432503 0.0498841 -0.0863073 0.0498841 -0.0863073 0.999605 0 33 -1 1 -0.836959
 -0.195087 0.437962 -0.195087 0.437962 -0.195087 0.437962 0.0198486 -0.0222365 0.0198486 -0.0222365 0.999578 0 34 -1 1 -0.836959
 -0.195547 0.436951 -0.195547 0.436951 -0.195547 0.436951 -0.0106042 0.0424159 -0.0106042 0.0424159 0.99958 0 35 -1 1 -0.836959
