"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.8,"diag",0.658866227805233,32,0.116,0.147,332.138626811935,1000,1000,362.301371364613,0.998999503935556,1.00993739069928,0.999192713814407,2259.44644089752,"iidz"
"2","tmbstan",1,0.8,"diag",0.605173510028513,32,0.131,0.218,374.912607275195,1000,1000,346.393779648001,0.998999689525587,1.00240440225843,0.999199286648949,1719.78260217979,"iidz"
"3","tmb",1,0.8,"diag",0.676301002533687,32,0.810097932815552,1.60224986076355,318.258774342837,1000,1000,273.492800717253,0.998999696131353,1.00393217331099,0.999220958740679,198.632424403002,"iidz"
"4","admb",1,0.8,"diag",0.686714,32,NA,1.31,216.593778641472,1000,1000,224.024224352932,0.998999559260116,1.00187555272765,0.999122500553226,165.338762321734,"iidz"
"5","stan",2,0.8,"diag",0.619941317870703,32,0.173,0.204,335.288843836651,1000,1000,373.242914974355,0.998999504918199,1.00297419567262,0.999363981955352,1643.57276390515,"iidz"
"6","tmbstan",2,0.8,"diag",0.620618192111335,32,0.335,0.42,360.819659475229,1000,1000,370.368958848194,0.998999499564619,1.0006368508202,0.999139605083257,859.094427321974,"iidz"
"7","tmb",2,0.8,"diag",0.676492156386763,32,0.862427949905396,1.63886308670044,196.594623337575,1000,1000,221.082055931864,0.999000501986512,1.00608723968265,0.999118797435468,119.957929941166,"iidz"
"8","admb",2,0.8,"diag",0.67516,32,NA,1.35,197.917295872782,1000,1000,217.34929181832,0.998999748754683,1.00898206717105,0.999129987758873,146.605404350209,"iidz"
"9","stan",3,0.8,"diag",0.551565094785132,32,0.106,0.137,341.369294101555,1000,1000,358.729925575413,0.998999758026006,1.00492429461617,0.999276141786234,2491.74667227412,"iidz"
"10","tmbstan",3,0.8,"diag",0.617190052782576,32,0.252,0.315,378.262950498398,1000,1000,370.715176562914,0.999000332457518,1.00122871420572,0.999254597551247,1200.83476348698,"iidz"
"11","tmb",3,0.8,"diag",0.676530923941288,32,0.818549871444702,1.60949683189392,243.221437851229,1000,1000,234.998173110553,0.999000113262968,1.00913752192638,0.999086620286336,151.116443991397,"iidz"
