accept_stat__,stepsize__,int_time__,energy__,lp__
6.56163e-006,0.233509,2.33509,15.634,-10.6826
1,0.24312,2.4312,3.14106,-3.14074
0.999939,0.344375,3.44375,4.48998,-2.67865
0.998079,0.561538,5.61538,4.66634,-4.38954
1,0.994125,9.94125,3.12775,-2.08105
1,1.83367,18.3367,2.158,-1.57589
1,3.45184,34.5184,1.78437,-1.56813
0.989993,6.34684,63.4684,1.80058,-1.57078
1.28687e-007,0.512005,5.12005,12.9624,-12.3339
1,0.962814,9.62814,2.22059,-2.02086
1,1.81101,18.1101,2.17883,-1.93715
0.972707,3.11423,31.1423,3.7857,-2.02608
0.711258,2.34604,23.4604,3.50184,-3.18937
1,4.35645,43.5645,3.14135,-1.34099
0.277977,0.856372,8.56372,6.17167,-3.87239
0.988588,1.53157,15.3157,3.7397,-3.16393
1,2.81221,28.1221,2.75535,-2.46613
1,5.1143,51.143,3.28097,-2.01484
0.0293246,0.497672,4.97672,6.3961,-5.69312
1,0.908653,9.08653,3.36366,-2.05193
0.99661,1.62627,16.2627,4.1019,-3.17541
1,2.91095,29.1095,2.56986,-2.00232
1,5.15878,51.5878,1.98124,-1.69148
0.561988,2.56203,25.6203,4.52815,-2.42969
1,4.50053,45.0053,2.68826,-1.71567
0.00352313,0.465391,4.65391,8.69402,-8.243
1,0.82149,8.2149,2.30254,-1.5202
0.996812,1.42354,14.2354,6.64599,-1.58282
0.700813,1.07925,10.7925,7.63936,-5.95497
1,1.86517,18.6517,8.19828,-3.4422
1,3.1944,31.944,8.61113,-6.54753
0.16887,0.577983,5.77983,8.46849,-5.9466
0.591097,0.33223,3.3223,2.00906,-1.26008
0.00505243,0.0407608,0.407608,7.99369,-7.10938
1,0.070741,0.70741,6.98535,-6.37367
0.999973,0.121695,1.21695,6.52491,-6.31421
0.999931,0.207556,2.07556,6.38418,-6.29278
1,0.351143,3.51143,5.75282,-5.74978
1,0.589306,5.89306,5.91586,-5.26005
0.991958,0.961542,9.61542,6.6142,-4.75513
1,1.58928,15.8928,9.95467,-6.21376
1,2.60751,26.0751,8.84499,-7.89718
0.661583,1.83846,18.3846,12.3334,-8.50884
1,2.99192,29.9192,10.354,-8.96572
0.0883928,0.523243,5.23243,14.0769,-12.6613
1,0.853235,8.53235,6.45297,-6.06722
0.997041,1.37212,13.7212,5.55075,-4.91586
1,2.20781,22.0781,4.59208,-3.71588
0.775997,2.07444,20.7444,6.61655,-4.04116
1,3.30759,33.0759,5.65131,-5.63722
1,5.2415,52.415,3.22149,-2.94014
0.00135084,0.808967,8.08967,6.41981,-6.26981
1,1.28608,12.8608,3.54965,-2.20986
0.999207,2.02882,20.2882,2.60019,-2.55601
1,3.18792,31.8792,2.78428,-2.49683
0.507676,1.63108,16.3108,2.81118,-2.47238
0.998909,2.54594,25.4594,1.84363,-1.78734
1,3.96215,39.6215,2.13735,-1.7434
0.376068,1.52902,15.2902,5.34062,-2.86497
1,2.37435,23.7435,5.27626,-3.85133
0.928489,3.13398,31.3398,4.48997,-4.04852
