theta1 theta2 thetaminus1 thetaminus2 thetaplus1 thetaplus2 rminus1 rminus2 rplus1 rplus2 alpha divergent nfevals v nprime logu
 -1.89333 -1.97333 -1.89333 -1.97333 -1.89333 -1.97333 1.12711 0.335111 1.12711 0.335111 1 0 1 1 1 -5.71769
 -1.77458 -1.93298 -1.77458 -1.93298 -1.77458 -1.93298 1.24143 0.473268 1.24143 0.473268 1 0 2 1 1 -5.71769
 -1.64505 -1.87868 -1.64505 -1.87868 -1.64505 -1.87868 1.34235 0.613391 1.34235 0.613391 1 0 3 1 1 -5.71769
 -1.50611 -1.8103 -1.50611 -1.8103 -1.50611 -1.8103 1.42946 0.754285 1.42946 0.754285 1 0 4 1 1 -5.71769
 -1.35916 -1.72782 -1.35916 -1.72782 -1.35916 -1.72782 1.50254 0.894651 1.50254 0.894651 1 0 5 1 1 -5.71769
 -1.2056 -1.63137 -1.2056 -1.63137 -1.2056 -1.63137 1.56155 1.0331 1.56155 1.0331 1 0 6 1 1 -5.71769
 -1.04685 -1.5212 -1.04685 -1.5212 -1.04685 -1.5212 1.60663 1.16819 1.60663 1.16819 1 0 7 1 1 -5.71769
 -0.884275 -1.39773 -0.884275 -1.39773 -0.884275 -1.39773 1.63807 1.29842 1.63807 1.29842 1 0 8 1 1 -5.71769
 -0.719232 -1.26152 -0.719232 -1.26152 -0.719232 -1.26152 1.65633 1.42225 1.65633 1.42225 1 0 9 1 1 -5.71769
 -0.553009 -1.11328 -0.553009 -1.11328 -0.553009 -1.11328 1.66199 1.53816 1.66199 1.53816 1 0 10 1 1 -5.71769
 -0.386835 -0.953885 -0.386835 -0.953885 -0.386835 -0.953885 1.65574 1.64465 1.65574 1.64465 1 0 11 1 1 -5.71769
 -0.221862 -0.784351 -0.221862 -0.784351 -0.221862 -0.784351 1.63838 1.74024 1.63838 1.74024 1 0 12 1 1 -5.71769
 -0.0591595 -0.605837 -0.0591595 -0.605837 -0.0591595 -0.605837 1.61077 1.82355 1.61077 1.82355 1 0 13 1 1 -5.71769
 0.100292 -0.41964 0.100292 -0.41964 0.100292 -0.41964 1.57385 1.89329 1.57385 1.89329 1 0 14 1 1 -5.71769
 0.25561 -0.22718 0.25561 -0.22718 0.25561 -0.22718 1.52856 1.94827 1.52856 1.94827 1 0 15 1 1 -5.71769
 0.406004 -0.0299857 0.406004 -0.0299857 0.406004 -0.0299857 1.47588 1.98747 1.47588 1.98747 1 0 16 1 1 -5.71769
 0.550785 0.170315 0.550785 0.170315 0.550785 0.170315 1.41677 2.01001 1.41677 2.01001 1 0 17 1 1 -5.71769
 0.689358 0.372016 0.689358 0.372016 0.689358 0.372016 1.35217 2.01519 1.35217 2.01519 1 0 18 1 1 -5.71769
 0.82122 0.573353 0.82122 0.573353 0.82122 0.573353 1.28298 2.00252 1.28298 2.00252 1 0 19 1 1 -5.71769
 0.945954 0.77252 0.945954 0.77252 0.945954 0.77252 1.21003 1.9717 1.21003 1.9717 1 0 20 1 1 -5.71769
 1.06323 0.967693 1.06323 0.967693 1.06323 0.967693 1.13409 1.92266 1.13409 1.92266 1 0 21 1 1 -5.71769
 1.17277 1.15705 1.17277 1.15705 1.17277 1.15705 1.05585 1.85554 1.05585 1.85554 1 0 22 1 1 -5.71769
 1.2744 1.3388 1.2744 1.3388 1.2744 1.3388 0.9759 1.77072 0.9759 1.77072 1 0 23 1 1 -5.71769
 1.36795 1.5112 1.36795 1.5112 1.36795 1.5112 0.894744 1.6688 0.894744 1.6688 1 0 24 1 1 -5.71769
 1.45334 1.67256 1.45334 1.67256 1.45334 1.67256 0.812782 1.5506 0.812782 1.5506 1 0 25 1 1 -5.71769
 1.53051 1.82132 1.53051 1.82132 1.53051 1.82132 0.730322 1.41713 0.730322 1.41713 1 0 26 1 1 -5.71769
 1.59941 1.95599 1.59941 1.95599 1.59941 1.95599 0.647571 1.26964 0.647571 1.26964 1 0 27 1 1 -5.71769
 1.66002 2.07524 1.66002 2.07524 1.66002 2.07524 0.56465 1.10954 0.56465 1.10954 1 0 28 1 1 -5.71769
 1.71234 2.1779 1.71234 2.1779 1.71234 2.1779 0.481597 0.93841 0.481597 0.93841 0.999699 0 29 1 1 -5.71769
 1.75634 2.26293 1.75634 2.26293 1.75634 2.26293 0.398379 0.757978 0.398379 0.757978 0.999316 0 30 1 1 -5.71769
 1.79201 2.32949 1.79201 2.32949 1.79201 2.32949 0.314902 0.570096 0.314902 0.570096 0.999004 0 31 1 1 -5.71769
 1.81932 2.37695 1.81932 2.37695 1.81932 2.37695 0.231028 0.376711 0.231028 0.376711 0.998777 0 32 1 1 -5.71769
 1.83822 2.40483 1.83822 2.40483 1.83822 2.40483 0.146584 0.179844 0.146584 0.179844 0.998642 0 33 1 1 -5.71769
 1.84864 2.41291 1.84864 2.41291 1.84864 2.41291 0.0613854 -0.018444 0.0613854 -0.018444 0.998605 0 34 1 1 -5.71769
 1.8505 2.40115 1.8505 2.40115 1.8505 2.40115 -0.0247551 -0.216077 -0.0247551 -0.216077 0.998666 0 35 1 1 -5.71769
 1.84369 2.3697 1.84369 2.3697 1.84369 2.3697 -0.112006 -0.410994 -0.112006 -0.410994 0.998822 0 36 1 1 -5.71769
 1.8281 2.31895 1.8281 2.31895 1.8281 2.31895 -0.200503 -0.601177 -0.200503 -0.601177 0.999065 0 37 1 1 -5.71769
 1.80359 2.24946 1.80359 2.24946 1.80359 2.24946 -0.290335 -0.784682 -0.290335 -0.784682 0.999385 0 38 1 1 -5.71769
 1.77003 2.16201 1.77003 2.16201 1.77003 2.16201 -0.381527 -0.959659 -0.381527 -0.959659 0.999766 0 39 1 1 -5.71769
 1.72728 2.05753 1.72728 2.05753 1.72728 2.05753 -0.47403 -1.12439 -0.47403 -1.12439 1 0 40 1 1 -5.71769
 1.67522 1.93713 1.67522 1.93713 1.67522 1.93713 -0.567708 -1.27728 -0.567708 -1.27728 1 0 41 1 1 -5.71769
 1.61374 1.80208 1.61374 1.80208 1.61374 1.80208 -0.662332 -1.41693 -0.662332 -1.41693 1 0 42 1 1 -5.71769
 1.54276 1.65375 1.54276 1.65375 1.54276 1.65375 -0.757571 -1.5421 -0.757571 -1.5421 1 0 43 1 1 -5.71769
 1.46223 1.49366 1.46223 1.49366 1.46223 1.49366 -0.85299 -1.65176 -0.85299 -1.65176 1 0 44 1 1 -5.71769
 1.37216 1.3234 1.37216 1.3234 1.37216 1.3234 -0.948047 -1.74508 -0.948047 -1.74508 1 0 45 1 1 -5.71769
 1.27262 1.14464 1.27262 1.14464 1.27262 1.14464 -1.0421 -1.82146 -1.0421 -1.82146 1 0 46 1 1 -5.71769
 1.16374 0.959104 1.16374 0.959104 1.16374 0.959104 -1.1344 -1.8805 -1.1344 -1.8805 1 0 47 1 1 -5.71769
 1.04574 0.768539 1.04574 0.768539 1.04574 0.768539 -1.22411 -1.92203 -1.22411 -1.92203 1 0 48 1 1 -5.71769
 0.918917 0.574699 0.918917 0.574699 0.918917 0.574699 -1.31031 -1.94609 -1.31031 -1.94609 1 0 49 1 1 -5.71769
 0.783676 0.379322 0.783676 0.379322 0.783676 0.379322 -1.39201 -1.95293 -1.39201 -1.95293 1 0 50 1 1 -5.71769
 0.640514 0.184112 0.640514 0.184112 0.640514 0.184112 -1.46818 -1.94302 -1.46818 -1.94302 1 0 51 1 1 -5.71769
 0.49004 -0.00928284 0.49004 -0.00928284 0.49004 -0.00928284 -1.53772 -1.91699 -1.53772 -1.91699 1 0 52 1 1 -5.71769
 0.33297 -0.199287 0.33297 -0.199287 0.33297 -0.199287 -1.59954 -1.87566 -1.59954 -1.87566 1 0 53 1 1 -5.71769
 0.170132 -0.384414 0.170132 -0.384414 0.170132 -0.384414 -1.65254 -1.81997 -1.65254 -1.81997 1 0 54 1 1 -5.71769
 0.00246216 -0.563281 0.00246216 -0.563281 0.00246216 -0.563281 -1.69563 -1.75104 -1.69563 -1.75104 1 0 55 1 1 -5.71769
 -0.168995 -0.734622 -0.168995 -0.734622 -0.168995 -0.734622 -1.7278 -1.67006 -1.7278 -1.67006 1 0 56 1 1 -5.71769
 -0.343097 -0.897294 -0.343097 -0.897294 -0.343097 -0.897294 -1.74805 -1.57834 -1.74805 -1.57834 1 0 57 1 1 -5.71769
 -0.518606 -1.05029 -0.518606 -1.05029 -0.518606 -1.05029 -1.75553 -1.47722 -1.75553 -1.47722 1 0 58 1 1 -5.71769
 -0.694202 -1.19274 -0.694202 -1.19274 -0.694202 -1.19274 -1.74944 -1.36811 -1.74944 -1.36811 1 0 59 1 1 -5.71769
 -0.868494 -1.32391 -0.868494 -1.32391 -0.868494 -1.32391 -1.72915 -1.25243 -1.72915 -1.25243 1 0 60 1 1 -5.71769
 -1.04003 -1.44322 -1.04003 -1.44322 -1.04003 -1.44322 -1.69415 -1.13157 -1.69415 -1.13157 1 0 61 1 1 -5.71769
 -1.20732 -1.55023 -1.20732 -1.55023 -1.20732 -1.55023 -1.64411 -1.00692 -1.64411 -1.00692 1 0 62 1 1 -5.71769
 -1.36885 -1.64461 -1.36885 -1.64461 -1.36885 -1.64461 -1.57886 -0.879802 -1.57886 -0.879802 1 0 63 1 1 -5.71769
