"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,16,1000,0.888620197299909,0.8,0.624104135478996,0,0,6.972,7,0.333657500031585,"diag","mvnd"
"2","tmbstan",1,16,1000,0.891192864216873,0.8,0.605687086611587,0,0,6.976,7,0.309062323034561,"diag","mvnd"
"3","tmb",1,16,1000,0.830466204805517,0.8,0.744868639168727,0,0,6.58,7,1.22682725153344,"diag","mvnd"
"4","admb",1,16,1000,0.803827949,0.8,0.780399,0,0,6.396,7,1.44404614513154,"diag","mvnd"
"5","stan",2,16,1000,0.902243464347224,0.8,0.576632257358647,0,0,6.976,7,0.309062323034561,"diag","mvnd"
"6","tmbstan",2,16,1000,0.898582007312503,0.8,0.600340469113242,0,0,6.988,7,0.218869604796792,"diag","mvnd"
"7","tmb",2,16,1000,0.806194586992607,0.8,0.76518635950666,0,0,6.524,7,1.29580210800226,"diag","mvnd"
"8","admb",2,16,1000,0.809378977,0.8,0.781146,0,0,6.26,7,1.55396744329307,"diag","mvnd"
"9","stan",3,16,1000,0.877648557911615,0.8,0.647765798197962,0,0,6.956,7,0.417418540841489,"diag","mvnd"
"10","tmbstan",3,16,1000,0.873525327934565,0.8,0.643904109898371,0,0,6.948,7,0.453322734375303,"diag","mvnd"
"11","tmb",3,16,1000,0.855491511070681,0.8,0.738247284957065,0,0,6.772,7,0.927834509423354,"diag","mvnd"
"12","admb",3,16,1000,0.809383369,0.8,0.785066,0,0,6.32,7,1.50328302719743,"diag","mvnd"
