"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.8,"unit",1.13430335154466,5,0.16,0.179,425.630031142039,1000,1000,452.686675358393,0.999180162465788,0.999454960262196,0.999219804960594,2377.82140302815,"mvnd"
"2","tmb",1,0.8,"unit",1.07508708593284,5,0.841603994369507,1.59260392189026,308.680328614787,1000,1000,301.276443563352,0.999007078922327,1.00097000503301,0.999253396791367,193.821153126645,"mvnd"
"3","admb",1,0.8,"unit",1.09295,5,NA,0.329999999999984,315.815543293957,479.565804803454,1000,365.449113360125,0.999000180458695,1.00620475034569,0.999631052307913,957.016797860522,"mvnd"
"4","admb.rwm",1,0.8,"unit",NA,5,NA,0.20999999999998,376.971327633154,514.894387713712,1000,404.672725893467,0.999719266976855,1.01056648005918,1.00105073523824,1795.10156015805,"mvnd"
"5","stan",2,0.8,"unit",1.15117361961053,5,0.224,0.243,488.09218291483,1000,1000,650.318793934737,0.999016054071862,1.00012173786562,0.999246457402657,2008.60980623387,"mvnd"
"6","tmb",2,0.8,"unit",0.989468961592799,5,1.19382405281067,1.83081388473511,220.267222513333,1000,1000,218.856021647235,0.999000367705096,1.00570842657252,0.999448609076116,120.311094617464,"mvnd"
"7","admb",2,0.8,"unit",1.0691,5,NA,0.320000000000022,404.249420432099,421.959946232904,1000,379.745936722406,0.999006065879915,1.00973884974966,0.999695481431246,1263.27943885022,"mvnd"
"8","admb.rwm",2,0.8,"unit",NA,5,NA,0.210000000000008,496.099838750002,532.979921071064,1000,509.541771798018,0.999037609502241,1.00968988110578,1.00040046313397,2362.38018452373,"mvnd"
"9","stan",3,0.8,"unit",1.14742728280597,5,0.211,0.23,420.965412234554,1000,1000,417.541660806297,0.999004355624482,1.00006308823864,0.999194321884329,1830.2844010198,"mvnd"
"10","tmb",3,0.8,"unit",1.04658305362124,5,0.831228017807007,1.4526789188385,272.655229395858,1000,1000,314.634795117267,0.999290766468413,1.00054510143971,0.99988248913058,187.691323843166,"mvnd"
"11","admb",3,0.8,"unit",1.03504,5,NA,0.310000000000002,291.551621898366,363.435886112654,1000,343.443636450022,0.99951310749026,1.00346708558231,0.999762139317575,940.489102897947,"mvnd"
"12","admb.rwm",3,0.8,"unit",NA,5,NA,0.219999999999999,446.119748718038,541.966865189158,1000,492.13275246143,0.999116742446457,1.00364139334828,1.00048809952538,2027.81703962746,"mvnd"
