theta1 theta2 thetaminus1 thetaminus2 thetaplus1 thetaplus2 rminus1 rminus2 rplus1 rplus2 alpha divergent nfevals v nprime logu
 -1.16119 1.02779 -1.16119 1.02779 -1.16119 1.02779 0.585431 0.624661 0.585431 0.624661 0 0 0 0 0 -3.76445
 -1.13038 1.05755 -1.13038 1.05755 -1.13038 1.05755 0.646344 0.565518 0.646344 0.565518 0.999999 0 1 1 1 -3.76445
 -1.18893 0.995086 -1.18893 0.995086 -1.18893 0.995086 0.524087 0.683185 0.524087 0.683185 1 0 2 -1 1 -3.76445
 -1.21359 0.959472 -1.21359 0.959472 -1.21359 0.959472 0.462383 0.740991 0.462383 0.740991 1 0 3 -1 1 -3.76445
 -1.09655 1.08434 -1.09655 1.08434 -1.09655 1.08434 0.706743 0.50585 0.706743 0.50585 1 0 4 1 1 -3.76445
 -1.05971 1.10814 -1.05971 1.10814 -1.05971 1.10814 0.766537 0.445737 0.766537 0.445737 1 0 5 1 1 -3.76445
 -1.0199 1.12892 -1.0199 1.12892 -1.0199 1.12892 0.82562 0.385252 0.82562 0.385252 1 0 6 1 1 -3.76445
 -0.977149 1.14666 -0.977149 1.14666 -0.977149 1.14666 0.883875 0.32446 0.883875 0.32446 1 0 7 1 1 -3.76445
 -1.23517 0.920987 -1.23517 0.920987 -1.23517 0.920987 0.400379 0.797964 0.400379 0.797964 1 0 8 -1 1 -3.76445
 -1.25363 0.879676 -1.25363 0.879676 -1.25363 0.879676 0.338133 0.853979 0.338133 0.853979 1 0 9 -1 1 -3.76445
 -1.26898 0.835589 -1.26898 0.835589 -1.26898 0.835589 0.275691 0.908895 0.275691 0.908895 1 0 10 -1 1 -3.76445
 -1.2812 0.788786 -1.2812 0.788786 -1.2812 0.788786 0.213097 0.962561 0.213097 0.962561 1 0 11 -1 1 -3.76445
 -1.29029 0.739333 -1.29029 0.739333 -1.29029 0.739333 0.150389 1.01481 0.150389 1.01481 1 0 12 -1 1 -3.76445
 -1.29624 0.687305 -1.29624 0.687305 -1.29624 0.687305 0.087604 1.06546 0.087604 1.06546 1 0 13 -1 1 -3.76445
 -1.29905 0.632787 -1.29905 0.632787 -1.29905 0.632787 0.0247743 1.11432 0.0247743 1.11432 1 0 14 -1 1 -3.76445
 -1.29872 0.575874 -1.29872 0.575874 -1.29872 0.575874 -0.0380679 1.16118 -0.0380679 1.16118 1 0 15 -1 1 -3.76445
 -0.93151 1.16136 -0.93151 1.16136 -0.93151 1.16136 0.941168 0.26342 0.941168 0.26342 1 0 16 1 1 -3.76445
 -0.883032 1.173 -0.883032 1.173 -0.883032 1.173 0.997351 0.202186 0.997351 0.202186 1 0 17 1 1 -3.76445
 -0.831774 1.18158 -0.831774 1.18158 -0.831774 1.18158 1.05226 0.140807 1.05226 0.140807 1 0 18 1 1 -3.76445
 -0.777806 1.18709 -0.777806 1.18709 -0.777806 1.18709 1.10571 0.0793297 1.10571 0.0793297 1 0 19 1 1 -3.76445
 -0.721204 1.18951 -0.721204 1.18951 -0.721204 1.18951 1.15751 0.0177973 1.15751 0.0177973 1 0 20 1 1 -3.76445
 -0.662055 1.18887 -0.662055 1.18887 -0.662055 1.18887 1.20744 -0.0437473 1.20744 -0.0437473 1 0 21 1 1 -3.76445
 -0.60046 1.18514 -0.60046 1.18514 -0.60046 1.18514 1.25528 -0.105262 1.25528 -0.105262 1 0 22 1 1 -3.76445
 -0.536528 1.17834 -0.536528 1.17834 -0.536528 1.17834 1.30079 -0.166703 1.30079 -0.166703 1 0 23 1 1 -3.76445
 -0.470381 1.16847 -0.470381 1.16847 -0.470381 1.16847 1.34373 -0.228027 1.34373 -0.228027 1 0 24 1 1 -3.76445
 -0.402154 1.15554 -0.402154 1.15554 -0.402154 1.15554 1.38386 -0.289185 1.38386 -0.289185 1 0 25 1 1 -3.76445
 -0.331995 1.13955 -0.331995 1.13955 -0.331995 1.13955 1.42092 -0.350127 1.42092 -0.350127 1 0 26 1 1 -3.76445
 -0.260062 1.12052 -0.260062 1.12052 -0.260062 1.12052 1.45468 -0.410797 1.45468 -0.410797 1 0 27 1 1 -3.76445
 -0.186527 1.09847 -0.186527 1.09847 -0.186527 1.09847 1.48492 -0.471134 1.48492 -0.471134 1 0 28 1 1 -3.76445
 -0.11157 1.07341 -0.11157 1.07341 -0.11157 1.07341 1.51143 -0.531069 1.51143 -0.531069 1 0 29 1 1 -3.76445
 -0.0353837 1.04536 -0.0353837 1.04536 -0.0353837 1.04536 1.53405 -0.590526 1.53405 -0.590526 1 0 30 1 1 -3.76445
 0.0418342 1.01436 0.0418342 1.01436 0.0418342 1.01436 1.55262 -0.649419 1.55262 -0.649419 1 0 31 1 1 -3.76445
 -1.29524 0.516669 -1.29524 0.516669 -1.29524 0.516669 -0.100891 1.20584 -0.100891 1.20584 1 0 32 -1 1 -3.76445
 -1.28863 0.45529 -1.28863 0.45529 -1.28863 0.45529 -0.163663 1.24807 -0.163663 1.24807 1 0 33 -1 1 -3.76445
 -1.27888 0.391862 -1.27888 0.391862 -1.27888 0.391862 -0.226349 1.28764 -0.226349 1.28764 1 0 34 -1 1 -3.76445
 -1.26599 0.326525 -1.26599 0.326525 -1.26599 0.326525 -0.288914 1.32435 -0.288914 1.32435 1 0 35 -1 1 -3.76445
 -1.24999 0.259427 -1.24999 0.259427 -1.24999 0.259427 -0.351319 1.35797 -0.351319 1.35797 1 0 36 -1 1 -3.76445
 -1.23086 0.190728 -1.23086 0.190728 -1.23086 0.190728 -0.413518 1.3883 -0.413518 1.3883 1 0 37 -1 1 -3.76445
 -1.20863 0.120597 -1.20863 0.120597 -1.20863 0.120597 -0.475463 1.41515 -0.475463 1.41515 1 0 38 -1 1 -3.76445
 -1.18332 0.0492133 -1.18332 0.0492133 -1.18332 0.0492133 -0.537097 1.43836 -0.537097 1.43836 1 0 39 -1 1 -3.76445
 -1.15492 -0.0232384 -1.15492 -0.0232384 -1.15492 -0.0232384 -0.598356 1.45779 -0.598356 1.45779 1 0 40 -1 1 -3.76445
 -1.12348 -0.0965658 -1.12348 -0.0965658 -1.12348 -0.0965658 -0.659167 1.47334 -0.659167 1.47334 1 0 41 -1 1 -3.76445
 -1.08901 -0.170573 -1.08901 -0.170573 -1.08901 -0.170573 -0.719446 1.48494 -0.719446 1.48494 1 0 42 -1 1 -3.76445
 -1.05153 -0.24506 -1.05153 -0.24506 -1.05153 -0.24506 -0.779099 1.49255 -0.779099 1.49255 1 0 43 -1 1 -3.76445
 -1.0111 -0.319828 -1.0111 -0.319828 -1.0111 -0.319828 -0.838018 1.49619 -0.838018 1.49619 1 0 44 -1 1 -3.76445
 -0.967733 -0.394679 -0.967733 -0.394679 -0.967733 -0.394679 -0.896081 1.4959 -0.896081 1.4959 1 0 45 -1 1 -3.76445
 -0.921489 -0.469417 -0.921489 -0.469417 -0.921489 -0.469417 -0.953152 1.49175 -0.953152 1.49175 1 0 46 -1 1 -3.76445
 -0.872418 -0.543854 -0.872418 -0.543854 -0.872418 -0.543854 -1.00908 1.48387 -1.00908 1.48387 1 0 47 -1 1 -3.76445
 -0.820581 -0.617804 -0.820581 -0.617804 -0.820581 -0.617804 -1.06369 1.47239 -1.06369 1.47239 1 0 48 -1 1 -3.76445
 -0.766049 -0.691093 -0.766049 -0.691093 -0.766049 -0.691093 -1.11681 1.45748 -1.11681 1.45748 1 0 49 -1 1 -3.76445
 -0.7089 -0.763552 -0.7089 -0.763552 -0.7089 -0.763552 -1.16823 1.43933 -1.16823 1.43933 1 0 50 -1 1 -3.76445
 -0.649225 -0.835026 -0.649225 -0.835026 -0.649225 -0.835026 -1.21774 1.41814 -1.21774 1.41814 1 0 51 -1 1 -3.76445
 -0.587126 -0.905367 -0.587126 -0.905367 -0.587126 -0.905367 -1.26511 1.39412 -1.26511 1.39412 1 0 52 -1 1 -3.76445
 -0.522715 -0.974438 -0.522715 -0.974438 -0.522715 -0.974438 -1.3101 1.36746 -1.3101 1.36746 1 0 53 -1 1 -3.76445
 -0.456116 -1.04211 -0.456116 -1.04211 -0.456116 -1.04211 -1.35247 1.3384 -1.35247 1.3384 1 0 54 -1 1 -3.76445
 -0.387468 -1.10828 -0.387468 -1.10828 -0.387468 -1.10828 -1.39196 1.30712 -1.39196 1.30712 1 0 55 -1 1 -3.76445
 -0.31692 -1.17283 -0.31692 -1.17283 -0.31692 -1.17283 -1.42834 1.27383 -1.42834 1.27383 1 0 56 -1 1 -3.76445
 -0.244634 -1.23566 -0.244634 -1.23566 -0.244634 -1.23566 -1.46138 1.23873 -1.46138 1.23873 1 0 57 -1 1 -3.76445
 -0.170782 -1.2967 -0.170782 -1.2967 -0.170782 -1.2967 -1.49084 1.20198 -1.49084 1.20198 1 0 58 -1 1 -3.76445
 -0.0955492 -1.35586 -0.0955492 -1.35586 -0.0955492 -1.35586 -1.51655 1.16375 -1.51655 1.16375 1 0 59 -1 1 -3.76445
 -0.0191275 -1.41307 -0.0191275 -1.41307 -0.0191275 -1.41307 -1.53832 1.1242 -1.53832 1.1242 1 0 60 -1 1 -3.76445
 0.0582824 -1.46828 0.0582824 -1.46828 0.0582824 -1.46828 -1.55602 1.08348 -1.55602 1.08348 1 0 61 -1 1 -3.76445
 0.136474 -1.52142 0.136474 -1.52142 0.136474 -1.52142 -1.56956 1.04169 -1.56956 1.04169 1 0 62 -1 1 -3.76445
 0.215238 -1.57245 0.215238 -1.57245 0.215238 -1.57245 -1.57889 0.99898 -1.57889 0.99898 1 0 63 -1 1 -3.76445
