theta1 theta2 thetaminus1 thetaminus2 thetaplus1 thetaplus2 rminus1 rminus2 rplus1 rplus2 alpha divergent nfevals v nprime logu
 0.209751 -0.389231 0.209751 -0.389231 0.209751 -0.389231 -0.492633 -0.134981 -0.492633 -0.134981 0 0 0 0 0 -0.921348
 0.184857 -0.395493 0.184857 -0.395493 0.184857 -0.395493 -0.502498 -0.115363 -0.502498 -0.115363 1 0 1 1 1 -0.921348
 0.23412 -0.381995 0.23412 -0.381995 0.23412 -0.381995 -0.481536 -0.154261 -0.481536 -0.154261 0.999998 0 2 -1 1 -0.921348
 0.257904 -0.373804 0.257904 -0.373804 0.257904 -0.373804 -0.469235 -0.173156 -0.469235 -0.173156 0.999997 0 3 -1 1 -0.921348
 0.159501 -0.400767 0.159501 -0.400767 0.159501 -0.400767 -0.511107 -0.0954561 -0.511107 -0.0954561 1 0 4 1 1 -0.921348
 0.133746 -0.405039 0.133746 -0.405039 0.133746 -0.405039 -0.518438 -0.075311 -0.518438 -0.075311 1 0 5 1 1 -0.921348
 0.107657 -0.408298 0.107657 -0.408298 0.107657 -0.408298 -0.524473 -0.0549775 -0.524473 -0.0549775 1 0 6 1 1 -0.921348
 0.081299 -0.410536 0.081299 -0.410536 0.081299 -0.410536 -0.529197 -0.0345067 -0.529197 -0.0345067 1 0 7 1 1 -0.921348
 0.281044 -0.364679 0.281044 -0.364679 0.281044 -0.364679 -0.455762 -0.191618 -0.455762 -0.191618 0.999995 0 8 -1 1 -0.921348
 0.303481 -0.354643 0.303481 -0.354643 0.303481 -0.354643 -0.441149 -0.209601 -0.441149 -0.209601 0.999993 0 9 -1 1 -0.921348
 0.325159 -0.343719 0.325159 -0.343719 0.325159 -0.343719 -0.425433 -0.22706 -0.425433 -0.22706 0.999991 0 10 -1 1 -0.921348
 0.346024 -0.331936 0.346024 -0.331936 0.346024 -0.331936 -0.408653 -0.243952 -0.408653 -0.243952 0.999989 0 11 -1 1 -0.921348
 0.366024 -0.319324 0.366024 -0.319324 0.366024 -0.319324 -0.390852 -0.260233 -0.390852 -0.260233 0.999987 0 12 -1 1 -0.921348
 0.385109 -0.305913 0.385109 -0.305913 0.385109 -0.305913 -0.372073 -0.275864 -0.372073 -0.275864 0.999986 0 13 -1 1 -0.921348
