"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,5,1000,1.13307656400523e-21,0.08,3.54736152417668,0,151,1.227,1,0.572537159317017,"diag","zdiag"
"2","tmbstan",1,5,1000,0.000142201478092954,0.08,3.64130995206945,0,3,1.005,1,0.0947838804015956,"diag","zdiag"
"3","tmb",1,5,1000,0.0866942592946739,0.08,2.10879647355489,0,0,1.91,1,1.00045034904332,"diag","zdiag"
"4","admb",1,5,1000,0.0684390224959473,0.08,2.03706,0,0,1.116,1,0.467720817115042,"diag","zdiag"
"5","stan",2,5,1000,4.20674727569685e-28,0.08,4.38704303231177,0,130,1.178,1,0.514373969579119,"diag","zdiag"
"6","tmbstan",2,5,1000,5.27697571108526e-05,0.08,3.15135964296058,0,47,1.071,1,0.337747054869577,"diag","zdiag"
"7","tmb",2,5,1000,0.0197087980864727,0.08,2.17579617821287,0,5,1.012,1,0.154531161517281,"diag","zdiag"
"8","admb",2,5,1000,0.179690569772035,0.08,1.69524,0,0,1.964,1,1.40594476444869,"diag","zdiag"
"9","stan",3,5,1000,1.31760299725167e-39,0.08,3.92644133615083,0,336,1.289,1,0.596518930826872,"diag","zdiag"
"10","tmbstan",3,5,1000,1.33397191516534e-13,0.08,3.37884512300229,0,123,1.175,1,0.512481841275998,"diag","zdiag"
"11","tmb",3,5,1000,0.0244996651668324,0.08,2.37648520766324,0,8,1.02,1,0.199097060851334,"diag","zdiag"
"12","admb",3,5,1000,0.0368991154274734,0.08,1.92212,0,2,1.112,1,0.46007354593333,"diag","zdiag"
"13","stan",4,5,1000,0.000254182343649719,0.08,3.88800930028204,0,44,1.072,1,0.350626494918651,"diag","zdiag"
"14","tmbstan",4,5,1000,0.00112227927436776,0.08,2.98437917209502,0,10,1.024,1,0.217879488413828,"diag","zdiag"
"15","tmb",4,5,1000,0.129684723298183,0.08,2.06342368920088,0,1,2.024,3,1.00021218969998,"diag","zdiag"
"16","admb",4,5,1000,0.0161708042653906,0.08,2.47678,0,0,1,1,0,"diag","zdiag"
"17","stan",5,5,1000,0.00112312249118849,0.08,2.99478722373539,0,29,1.056,1,0.327064169500376,"diag","zdiag"
"18","tmbstan",5,5,1000,0.00017657368593749,0.08,3.17861571205884,0,126,1.194,1,0.540977501063267,"diag","zdiag"
"19","tmb",5,5,1000,0.0733149915823505,0.08,1.78856636395632,0,0,1.414,1,0.844581149042126,"diag","zdiag"
"20","admb",5,5,1000,0.0371755099007035,0.08,2.26071,0,0,1.002,1,0.0632455532033676,"diag","zdiag"
