"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,32,1000,0.872770220555736,0.8,0.557514377222269,0,0,6.996,7,0.126491106406735,"diag","zdiag"
"2","tmbstan",1,32,1000,0.873027886310953,0.8,0.560755670213964,0,0,7,7,0,"diag","zdiag"
"3","tmb",1,32,1000,0.822872884237511,0.8,0.646366544556091,0,0,7,7,0,"diag","zdiag"
"4","admb",1,32,1000,0.816811518,0.8,0.689472,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"5","stan",2,32,1000,0.88587069372678,0.8,0.52835547690656,0,0,7,7,0,"diag","zdiag"
"6","tmbstan",2,32,1000,0.884314620076088,0.8,0.533116651022651,0,0,7,7,0,"diag","zdiag"
"7","tmb",2,32,1000,0.815323965867291,0.8,0.663065084382301,0,0,6.984,7,0.252602074037027,"diag","zdiag"
"8","admb",2,32,1000,0.797079032,0.8,0.712577,0,0,6.972,7,0.333657500031585,"diag","zdiag"
"9","stan",3,32,1000,0.886035588681331,0.8,0.543533755214274,0,0,7,7,0,"diag","zdiag"
"10","tmbstan",3,32,1000,0.89702026982323,0.8,0.513121266936951,0,0,7,7,0,"diag","zdiag"
"11","tmb",3,32,1000,0.830890440623365,0.8,0.653529749382539,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"12","admb",3,32,1000,0.812250002,0.8,0.690004,0,0,6.988,7,0.218869604796792,"diag","zdiag"
"13","stan",4,32,1000,0.895820627213266,0.8,0.517312118110179,0,0,7,7,0,"diag","zdiag"
"14","tmbstan",4,32,1000,0.869620323434889,0.8,0.558064692466713,0,0,7,7,0,"diag","zdiag"
"15","tmb",4,32,1000,0.80850360226904,0.8,0.672701577684359,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"16","admb",4,32,1000,0.821989845,0.8,0.681197,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"17","stan",1,64,1000,0.871623773346039,0.8,0.470738096614612,0,0,7,7,0,"diag","zdiag"
"18","tmbstan",1,64,1000,0.892201610321374,0.8,0.428877653062985,0,0,12.848,7,11.4952615036387,"diag","zdiag"
"19","tmb",1,64,1000,0.810812738108632,0.8,0.569928685053745,0,0,7,7,0,"diag","zdiag"
"20","admb",1,64,1000,0.820571696,0.8,0.569549,0,0,7,7,0,"diag","zdiag"
"21","stan",2,64,1000,0.865856511796421,0.8,0.503080382039208,0,0,7,7,0,"diag","zdiag"
"22","tmbstan",2,64,1000,0.863137567433984,0.8,0.479534407811814,0,0,7,7,0,"diag","zdiag"
"23","tmb",2,64,1000,0.822672453214165,0.8,0.558770306894961,0,0,7,7,0,"diag","zdiag"
"24","admb",2,64,1000,0.837205984,0.8,0.551502,0,0,7,7,0,"diag","zdiag"
"25","stan",3,64,1000,0.8715485884572,0.8,0.477898230450568,0,0,7,7,0,"diag","zdiag"
"26","tmbstan",3,64,1000,0.871439210148975,0.8,0.470425914985369,0,0,7,7,0,"diag","zdiag"
"27","tmb",3,64,1000,0.793601808897408,0.8,0.587046283033652,0,0,7,7,0,"diag","zdiag"
"28","admb",3,64,1000,0.813732033,0.8,0.602576,0,0,7,7,0,"diag","zdiag"
"29","stan",4,64,1000,0.865735997802832,0.8,0.484814235167681,0,0,7,7,0,"diag","zdiag"
"30","tmbstan",4,64,1000,0.856134512324404,0.8,0.505883630813748,0,0,7,7,0,"diag","zdiag"
"31","tmb",4,64,1000,0.822063330660248,0.8,0.561613113247277,0,0,7,7,0,"diag","zdiag"
"32","admb",4,64,1000,0.81437521,0.8,0.572254,0,0,7,7,0,"diag","zdiag"
"33","stan",1,128,1000,0.809589529874682,0.8,0.472372636199701,0,0,7,7,0,"diag","zdiag"
"34","tmbstan",1,128,1000,0.841772613656481,0.8,0.437231442041296,0,0,14.52,7,14.1523810678589,"diag","zdiag"
"35","tmb",1,128,1000,0.794277669132494,0.8,0.513863426441632,0,0,7.016,7,0.505964425626941,"diag","zdiag"
"36","admb",1,128,1000,0.81649581,0.8,0.473473,0,0,7,7,0,"diag","zdiag"
"37","stan",2,128,1000,0.872859469339915,0.8,0.394657221255969,0,0,27.24,15,51.5467114708927,"diag","zdiag"
"38","tmbstan",2,128,1000,0.859333309710794,0.8,0.425822688039478,0,0,45.136,23,52.2390507419729,"diag","zdiag"
"39","tmb",2,128,1000,0.806383612540945,0.8,0.49730728041405,0,0,7,7,0,"diag","zdiag"
"40","admb",2,128,1000,0.815767525,0.8,0.469154,0,0,7,7,0,"diag","zdiag"
"41","stan",3,128,1000,0.85327261684678,0.8,0.420910282929134,0,0,37.744,23,42.7973606438303,"diag","zdiag"
"42","tmbstan",3,128,1000,0.805849748344024,0.8,0.482436698234926,0,0,7,7,0,"diag","zdiag"
"43","tmb",3,128,1000,0.808356472392447,0.8,0.496929410638146,0,0,7,7,0,"diag","zdiag"
"44","admb",3,128,1000,0.787872563,0.8,0.512418,0,0,7,7,0,"diag","zdiag"
"45","stan",4,128,1000,0.861043185072555,0.8,0.420405488635843,0,0,61.464,39,66.8768511311442,"diag","zdiag"
"46","tmbstan",4,128,1000,0.883745578870116,0.8,0.378268911624633,0,0,14.92,15,0.796388243405334,"diag","zdiag"
"47","tmb",4,128,1000,0.814200293053561,0.8,0.497850672782788,0,0,7,7,0,"diag","zdiag"
"48","admb",4,128,1000,0.810620059,0.8,0.482034,0,0,7,7,0,"diag","zdiag"
"49","stan",1,256,1000,0.844901867988069,0.8,0.367837728218083,0,0,15,15,0,"diag","zdiag"
"50","tmbstan",1,256,1000,0.819268578369165,0.8,0.397447650118041,0,0,534.992,263,555.657984493818,"diag","zdiag"
"51","tmb",1,256,1000,0.808581990303266,0.8,0.457261226842306,0,0,7,7,0,"diag","zdiag"
"52","admb",1,256,1000,0.756167294,0.8,0.433749,0,0,16.56,7,16.3583004616615,"diag","zdiag"
"53","stan",2,256,1000,0.870556776868254,0.8,0.349262564686169,0,0,15,15,0,"diag","zdiag"
"54","tmbstan",2,256,1000,0.832108214971757,0.8,0.391205694488682,0,0,16.776,15,8.480905007707,"diag","zdiag"
"55","tmb",2,256,1000,0.810339501393678,0.8,0.451235964055876,0,0,7,7,0,"diag","zdiag"
"56","admb",2,256,1000,0.819437067,0.8,0.402039,0,0,14.912,15,0.834837081682979,"diag","zdiag"
"57","stan",3,256,1000,0.842575046117176,0.8,0.374289795342621,0,0,15,15,0,"diag","zdiag"
"58","tmbstan",3,256,1000,0.86656268076912,0.8,0.350753536731432,0,0,15,15,0,"diag","zdiag"
"59","tmb",3,256,1000,0.813412701752663,0.8,0.460562361604045,0,0,7,7,0,"diag","zdiag"
"60","admb",3,256,1000,0.819262835,0.8,0.402173,0,0,14.856,15,1.06414115435707,"diag","zdiag"
"61","stan",4,256,1000,0.868340944665741,0.8,0.350561597870206,0,0,15,15,0,"diag","zdiag"
"62","tmbstan",4,256,1000,0.863215560416352,0.8,0.362801462539421,0,0,15,15,0,"diag","zdiag"
"63","tmb",4,256,1000,0.818581329291461,0.8,0.450591978174921,0,0,7,7,0,"diag","zdiag"
"64","admb",4,256,1000,0.833221715,0.8,0.399197,0,0,14.976,15,0.437739209593584,"diag","zdiag"
