"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.8,"diag",0.557514377222269,32,0.102,0.149,344.998562783468,1000,1000,346.316028267194,0.999000068504393,1.00186624881801,0.999174008824494,2315.4265958622,"zdiag"
"2","tmbstan",1,0.8,"diag",0.560755670213964,32,0.211,0.265,380.574998858853,1000,1000,349.775410581757,0.998999536951849,1.00228541719332,0.999134215449829,1436.13207116548,"zdiag"
"3","tmb",1,0.8,"diag",0.646366544556091,32,1.85034799575806,2.60849404335022,181.611880791808,1000,1000,165.962975340408,0.998999531300553,1.00121916348089,0.999056527859761,69.6232683585335,"zdiag"
"4","admb",1,0.8,"diag",0.689472,32,NA,1.92,194.660499688428,1000,1000,196.5185648243,0.99899954824207,1.00067670702878,0.999233214198903,101.385676921056,"zdiag"
"5","stan",2,0.8,"diag",0.52835547690656,32,0.101,0.155,468.503421925117,1000,1000,572.87569320806,0.99899996666673,1.00188452200408,0.99922098221573,3022.60272209753,"zdiag"
"6","tmbstan",2,0.8,"diag",0.533116651022651,32,0.2,0.286,307.333778643407,1000,1000,325.944461850428,0.999000953930602,1.00703769538543,0.999240405307335,1074.5936316203,"zdiag"
"7","tmb",2,0.8,"diag",0.663065084382301,32,2.08052086830139,2.83934807777405,207.357766856464,1000,1000,213.34516584242,0.999000961844083,1.00632469749432,0.999311249859573,73.0300622454945,"zdiag"
"8","admb",2,0.8,"diag",0.712577,32,NA,1.92999999999999,243.707329240627,1000,1000,238.824262366443,0.998999535744627,1.00589763638867,0.999110006432841,126.273227585818,"zdiag"
"9","stan",3,0.8,"diag",0.543533755214274,32,0.132,0.18,378.614374227519,1000,1000,362.55205717114,0.999007270566315,1.00191118567996,0.999437971994869,2103.41319015288,"zdiag"
"10","tmbstan",3,0.8,"diag",0.513121266936951,32,0.17,0.24,466.293659389352,1000,1000,472.254164685285,0.998999863052468,1.00636252779734,0.999514738752369,1942.89024745563,"zdiag"
"11","tmb",3,0.8,"diag",0.653529749382539,32,1.7963969707489,2.55801701545715,246.642762839529,1000,1000,223.76858252065,0.998999878234841,1.00407239213454,0.999310544819861,96.4195161131289,"zdiag"
"12","admb",3,0.8,"diag",0.690004,32,NA,1.97999999999999,255.108773159834,1000,1000,266.034867881462,0.999009767437613,1.00198007634228,0.999266074699885,128.842814727189,"zdiag"
"13","stan",4,0.8,"diag",0.517312118110179,32,0.109,0.15,512.230350231182,1000,1000,482.429171184093,0.998999499499564,1.00149420051975,0.999202744989947,3414.86900154121,"zdiag"
"14","tmbstan",4,0.8,"diag",0.558064692466713,32,0.301,0.408,335.164086503232,1000,1000,356.894589233146,0.999001467049213,1.00189786657102,0.999273293798529,821.480604174587,"zdiag"
"15","tmb",4,0.8,"diag",0.672701577684359,32,1.85852789878845,2.66668796539307,282.121726748346,1000,1000,288.992967813583,0.999000852176822,1.00060830446883,0.999150870401503,105.794802545172,"zdiag"
"16","admb",4,0.8,"diag",0.681197,32,NA,3.09999999999999,329.895423155303,1000,1000,311.156305209889,0.999000527290538,1.00177023825945,0.999191436713006,106.417878437195,"zdiag"
