theta1 theta2 thetaminus1 thetaminus2 thetaplus1 thetaplus2 rminus1 rminus2 rplus1 rplus2 alpha divergent nfevals v nprime
 0.222262 -1.9413 0.299105 -1.79862 0.222262 -1.9413 -0.753475 -1.51678 -0.779544 -1.32978 0.999383 0 1 1 0
 0.143196 -2.06457 0.299105 -1.79862 0.143196 -2.06457 -0.753475 -1.51678 -0.797817 -1.12949 0.998803 0 2 1 0
 0.0626984 -2.1672 0.299105 -1.79862 0.0626984 -2.1672 -0.753475 -1.51678 -0.808111 -0.917902 0.998281 0 3 1 0
 -0.0184263 -2.24815 0.299105 -1.79862 -0.0184263 -2.24815 -0.753475 -1.51678 -0.810325 -0.697135 0.99784 0 4 1 0
 -0.0993666 -2.30663 0.299105 -1.79862 -0.0993666 -2.30663 -0.753475 -1.51678 -0.804435 -0.469395 0.997496 0 5 1 0
 -0.179313 -2.34203 0.299105 -1.79862 -0.179313 -2.34203 -0.753475 -1.51678 -0.790501 -0.236962 0.997263 0 6 1 0
 -0.257467 -2.35402 0.299105 -1.79862 -0.257467 -2.35402 -0.753475 -1.51678 -0.768662 -0.00215972 0.99715 0 7 1 0
 -0.333046 -2.34247 0.299105 -1.79862 -0.333046 -2.34247 -0.753475 -1.51678 -0.739137 0.232665 0.997162 0 8 1 0
 -0.405294 -2.30749 0.299105 -1.79862 -0.405294 -2.30749 -0.753475 -1.51678 -0.70222 0.465162 0.997298 0 9 1 0
 -0.47349 -2.24943 0.299105 -1.79862 -0.47349 -2.24943 -0.753475 -1.51678 -0.658281 0.693008 0.997553 0 10 1 0
 -0.53695 -2.16889 0.299105 -1.79862 -0.53695 -2.16889 -0.753475 -1.51678 -0.607759 0.913924 0.997917 0 11 1 0
 -0.595041 -2.06665 0.299105 -1.79862 -0.595041 -2.06665 -0.753475 -1.51678 -0.551159 1.1257 0.998376 0 12 1 0
 -0.647182 -1.94375 0.299105 -1.79862 -0.647182 -1.94375 -0.753475 -1.51678 -0.489048 1.32622 0.99891 0 13 1 0
 -0.692851 -1.8014 0.299105 -1.79862 -0.692851 -1.8014 -0.753475 -1.51678 -0.422046 1.51348 0.999499 0 14 1 0
 -0.731591 -1.64105 0.299105 -1.79862 -0.731591 -1.64105 -0.753475 -1.51678 -0.350824 1.6856 1 0 15 1 0
 -0.763016 -1.46428 0.299105 -1.79862 -0.763016 -1.46428 -0.753475 -1.51678 -0.276094 1.84087 1 0 16 1 0
 -0.78681 -1.27288 0.299105 -1.79862 -0.78681 -1.27288 -0.753475 -1.51678 -0.198602 1.97773 1 0 17 1 0
 -0.802736 -1.06874 0.299105 -1.79862 -0.802736 -1.06874 -0.753475 -1.51678 -0.119125 2.09481 1 0 18 1 0
 -0.810635 -0.853915 0.299105 -1.79862 -0.810635 -0.853915 -0.753475 -1.51678 -0.0384564 2.19094 1 0 19 1 0
