"X","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
1,"stan",1,0.9,"diag",0.1413557301734,66,7.363,9.693,202.897939772317,1000,1000,180.817741389543,0.998999502226195,1.0035750527209,0.99931957091332,20.9324192481499,"growth",14.8657525602554,5.08151049104721,14.9661525384363,8.59828591599907,20.9324192481499
5,"stan",2,0.9,"diag",0.107354549411672,66,7.695,10.493,165.691008340979,683.58326628838,1000,170.249407556305,0.999008068966867,1.01757705040833,1.00028162352646,15.7906231145506,"growth",14.8657525602554,5.08151049104721,14.9661525384363,8.59828591599907,20.9324192481499
9,"stan",3,0.9,"diag",0.151181051427899,66,8.784,11.354,160.564657000202,1000,1000,204.094285104008,0.999000343612892,1.01192029352373,0.999393478172051,14.1416819623219,"growth",14.8657525602554,5.08151049104721,14.9661525384363,8.59828591599907,20.9324192481499
13,"stan",4,0.9,"diag",0.120037463925343,66,14.42,21.254,182.747968858644,1000,1000,159.472224780752,0.998999632225055,1.02263451897186,0.999538517329475,8.59828591599907,"growth",14.8657525602554,5.08151049104721,14.9661525384363,8.59828591599907,20.9324192481499
1,"stan",1,0.8,"diag",0.534325218699613,50,0.129,0.176,388.147337332132,1000,1000,425.259782342519,0.998999775263015,1.00200821084619,0.99925471661261,2205.38259847802,"iidz",1894.64467056564,516.953857812747,1949.96042384679,1265.30645757952,2413.35137698948
5,"stan",2,0.8,"diag",0.440960263833335,50,0.141,0.196,473.016869889938,1000,1000,546.735890067854,0.998999507960128,1.0023621592855,0.999241767667015,2413.35137698948,"iidz",1894.64467056564,516.953857812747,1949.96042384679,1265.30645757952,2413.35137698948
9,"stan",3,0.8,"diag",0.525334368511718,50,0.203,0.261,330.244985428255,1000,1000,374.642744157405,0.998999803327169,1.00285028083508,0.999239276428284,1265.30645757952,"iidz",1894.64467056564,516.953857812747,1949.96042384679,1265.30645757952,2413.35137698948
13,"stan",4,0.8,"diag",0.560673980036843,50,0.186,0.246,416.856409307029,1000,1000,409.292534472938,0.998999504296607,1.00245899795949,0.999213570203168,1694.53824921556,"iidz",1894.64467056564,516.953857812747,1949.96042384679,1265.30645757952,2413.35137698948
1,"stan",1,0.9,"diag",0.107094148232653,177,214.474,340.649,112.478509664061,1000,1000,106.12123939034,0.998999499512804,1.01990647487101,0.999672592033494,0.330188873779346,"swallows",0.37250673503118,0.16424273983239,0.411000029587328,0.158031606108866,0.509995274841197
5,"stan",2,0.9,"diag",0.11057191368386,177,206.569,326.804,166.668495799203,1000,1000,151.168284954638,0.998999539775577,1.02335141418515,0.999879750735866,0.509995274841197,"swallows",0.37250673503118,0.16424273983239,0.411000029587328,0.158031606108866,0.509995274841197
