"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,262,1000,0.950227072626301,0.9,0.107577090018517,0,0,47.544,63,15.9987507019775,"diag","growth"
"2","tmbstan",1,262,1000,0.947658131556063,0.9,0.105858263606197,0,0,49.784,63,15.7638143176657,"diag","growth"
"3","tmb",1,262,1000,0.955688022709501,0.9,0.100489808836394,0,0,52.408,63,15.0658725773357,"diag","growth"
"4","admb",1,262,1000,0.909275998,0.9,0.143857,0,0,31.032,31,1.01192885125388,"diag","growth"
"5","stan",2,262,1000,0.920650968235682,0.9,0.133226763297447,0,0,36.472,31,16.812491661734,"diag","growth"
"6","tmbstan",2,262,1000,0.913964670605993,0.9,0.141022653988371,0,0,32.952,31,8.05372948133711,"diag","growth"
"7","tmb",2,262,1000,0.910854297952802,0.9,0.135917563202747,0,0,31.8,31,4.99849827298009,"diag","growth"
"8","admb",2,262,1000,0.903166664,0.9,0.143612,0,0,31.128,31,2.02081659229622,"diag","growth"
"9","stan",3,262,1000,0.929101246885857,0.9,0.126897082645899,0,0,46.232,31,34.1150701891996,"diag","growth"
"10","tmbstan",3,262,1000,0.923907643814001,0.9,0.127333658928376,0,0,41.304,31,27.4352378571114,"diag","growth"
"11","tmb",3,262,1000,0.909522279059744,0.9,0.141336969921942,0,0,31.256,31,3.19133963229373,"diag","growth"
"12","admb",3,262,1000,0.910938934,0.9,0.144153,0,0,31.128,31,2.02081659229622,"diag","growth"
"13","stan",4,262,1000,0.914443124480104,0.9,0.141708467924506,0,0,32.056,31,5.89572926987185,"diag","growth"
"14","tmbstan",4,262,1000,0.923786268393629,0.9,0.132582872111884,0,0,39.224,31,20.5240117681475,"diag","growth"
"15","tmb",4,262,1000,0.919711891961133,0.9,0.137453179597719,0,0,31.736,31,4.79930592245768,"diag","growth"
"16","admb",4,262,1000,0.86329872319,0.9,0.141015,0,0,31.288,31,3.0236068193795,"diag","growth"
"17","stan",5,262,1000,0.920858722300847,0.9,0.136960107656141,0,0,34.968,31,11.7470408601047,"diag","growth"
"18","tmbstan",5,262,1000,0.928123764970408,0.9,0.128925355953124,0,0,40.536,31,24.4497544874073,"diag","growth"
"19","tmb",5,262,1000,0.917956840745902,0.9,0.13038906757324,0,0,33.528,31,9.43027815847158,"diag","growth"
"20","admb",5,262,1000,0.904609092,0.9,0.144675,0,0,31.096,31,1.75095683837434,"diag","growth"
"21","stan",6,262,1000,0.910764968912454,0.9,0.145639120501584,0,0,31.672,31,4.59058705281683,"diag","growth"
"22","tmbstan",6,262,1000,0.938013718340359,0.9,0.114673710416385,0,0,45.432,31,16.7465167071192,"diag","growth"
"23","tmb",6,262,1000,0.888952453169932,0.9,0.149874112567228,0,0,31,31,0,"diag","growth"
"24","admb",6,262,1000,0.892717974,0.9,0.149389,0,0,31,31,0,"diag","growth"
"25","stan",7,262,1000,0.902728654976828,0.9,0.152616927286474,0,0,31.096,31,1.75095683837434,"diag","growth"
"26","tmbstan",7,262,1000,0.90442319153745,0.9,0.147768657045,0,0,31.32,31,3.18555297362134,"diag","growth"
"27","tmb",7,262,1000,0.92060763307961,0.9,0.133253973698692,0,0,33.368,31,9.08510402335136,"diag","growth"
"28","admb",7,262,1000,0.90097608,0.9,0.144537,0,0,31.096,31,1.75095683837434,"diag","growth"
"29","stan",8,262,1000,0.915917041174719,0.9,0.135531884850704,0,0,34.616,31,11.3749696234291,"diag","growth"
"30","tmbstan",8,262,1000,0.906306447660229,0.9,0.142282693868053,0,0,32.472,31,6.85800614233089,"diag","growth"
"31","tmb",8,262,1000,0.912599400022593,0.9,0.14132378654444,0,0,31.064,31,1.43036706825554,"diag","growth"
"32","admb",8,262,1000,0.916379001,0.9,0.133631,0,0,32.568,31,7.48099868609408,"diag","growth"
"33","stan",9,262,1000,0.948985799195096,0.9,0.110595015557813,0,0,45.56,31,15.9430417606108,"diag","growth"
"34","tmbstan",9,262,1000,0.919273859761526,0.9,0.137710101625289,0,0,34.936,31,12.6400821071572,"diag","growth"
"35","tmb",9,262,1000,0.926700396936823,0.9,0.13205452575259,0,0,32.76,31,7.84065532183859,"diag","growth"
"36","admb",9,262,1000,0.911945528,0.9,0.144538,0,0,31,31,0,"diag","growth"
"37","stan",10,262,1000,0.930988812253524,0.9,0.128944620922092,0,0,42.872,31,28.7673978520682,"diag","growth"
"38","tmbstan",10,262,1000,0.92525230929455,0.9,0.134362800405068,0,0,34.616,31,11.6421683583465,"diag","growth"
"39","tmb",10,262,1000,0.90605597176971,0.9,0.141797410759022,0,0,31,31,0,"diag","growth"
"40","admb",10,262,1000,0.884695519,0.9,0.158433,0,0,31,31,0,"diag","growth"
