"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,38,1000,0.958626080783432,0.9,0.0843060403720747,0,0,58.568,63,12.7288412433889,"diag","growth"
"2","tmbstan",1,38,1000,0.930356598353381,0.9,0.0923143452215356,0,0,48.728,63,18.2823483245523,"diag","growth"
"3","tmb",1,38,1000,0.901523152289255,0.9,0.128242357690217,0,0,32.008,31,7.3188456399559,"diag","growth"
"4","admb",1,38,1000,0.884645291042,0.9,0.126788,0,0,33.224,31,9.32978396689167,"diag","growth"
"5","stan",2,38,1000,0.955319774282082,0.9,0.0909742123845475,0,0,56.728,63,14.586939185271,"diag","growth"
"6","tmbstan",2,38,1000,0.937910716103732,0.9,0.0973385572809696,0,0,48.696,63,17.2170848871698,"diag","growth"
"7","tmb",2,38,1000,0.914055964072715,0.9,0.119991265304969,0,0,34.136,31,10.4676203157678,"diag","growth"
"8","admb",2,38,1000,0.904992176,0.9,0.127282,0,0,33.064,31,9.55610920946508,"diag","growth"
"9","stan",3,38,1000,0.923159757728596,0.9,0.121384625473866,0,0,38.792,31,14.9469778934789,"diag","growth"
"10","tmbstan",3,38,1000,0.948143477027925,0.9,0.0819944532996903,0,0,56.216,63,14.3735849370971,"diag","growth"
"11","tmb",3,38,1000,0.908632278817617,0.9,0.120826632786569,0,0,34.712,31,11.1388118365079,"diag","growth"
"12","admb",3,38,1000,0.903543472008,0.9,0.122434,0,0,33.688,31,9.65504406390131,"diag","growth"
"13","stan",4,38,1000,0.933233070343286,0.9,0.107119473812691,0,0,46.184,31,18.1279553939976,"diag","growth"
"14","tmbstan",4,38,1000,0.94389598786351,0.9,0.0801244992575823,0,0,57.288,63,14.3675844693353,"diag","growth"
"15","tmb",4,38,1000,0.867136350191029,0.9,0.111707525594287,0,0,34.04,31,10.0977405573903,"diag","growth"
"16","admb",4,38,1000,0.92545779971655,0.9,0.106952,0,0,41.112,31,15.292263053888,"diag","growth"
"17","stan",1,70,1000,0.950983370167698,0.9,0.080345362777748,0,0,61.016,63,8.23477720133068,"diag","growth"
"18","tmbstan",1,70,1000,0.936089600101656,0.9,0.0901880121002523,0,0,47.256,31,17.0599386137672,"diag","growth"
"19","tmb",1,70,1000,0.907344250513899,0.9,0.107996434066193,0,0,33.032,31,8.83884048397193,"diag","growth"
"20","admb",1,70,1000,0.936027232,0.9,0.096379,0,0,45.336,31,16.0494451208971,"diag","growth"
"21","stan",2,70,1000,0.950855905360773,0.9,0.0887946517731032,0,0,54.744,63,15.8612118717973,"diag","growth"
"22","tmbstan",2,70,1000,0.91857489274299,0.9,0.0953177842841723,0,0,42.328,31,17.0823951547851,"diag","growth"
