"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.9,"diag",0.1413557301734,66,11.207,14.823,202.897939772317,1000,1000,180.817741389543,0.998999502226195,1.0035750527209,0.99931957091332,13.6880482879523,"growth"
"2","tmbstan",1,0.9,"diag",0.136399525050312,66,13.729,18.232,240.835655089789,1000,1000,214.494212917294,0.998999926678009,1.00259200426165,0.999384331823426,13.2095028022043,"growth"
"3","tmb",1,0.9,"diag",0.151451691275996,66,77.8616061210632,97.4896671772003,216.748352662179,1000,1000,200.97030691343,0.999000734140851,1.00760168887991,0.999551220661289,2.22329564699622,"growth"
"4","admb",1,0.9,"diag",0.149669,66,NA,37.17,216.879145868007,1000,1000,217.55486954045,0.998999506544332,1.00853483051836,0.999342976845874,5.83479004218475,"growth"
"5","stan",2,0.9,"diag",0.107354549411672,66,10.839,14.811,165.691008340979,683.58326628838,1000,170.249407556305,0.999008068966867,1.01757705040833,1.00028162352646,11.1870237216244,"growth"
"6","tmbstan",2,0.9,"diag",0.155166324411924,66,11.803,15.904,220.927064081179,1000,1000,199.978493760849,0.998999501045292,1.00391842779015,0.999237896959291,13.8912892405168,"growth"
"7","tmb",2,0.9,"diag",0.143901650886548,66,80.6016719341278,99.9032809734344,137.059873220176,1000,1000,198.84696257215,0.998999623649837,1.00521569563798,0.999406267277892,1.37192564533112,"growth"
"8","admb",2,0.9,"diag",0.142438,66,NA,35.16,118.707442266875,1000,1000,198.943823497947,0.99899961007347,1.02170182769458,0.999853450060382,3.37620711794298,"growth"
"9","stan",3,0.9,"diag",0.151181051427899,66,11.18,14.621,160.564657000202,1000,1000,204.094285104008,0.999000343612892,1.01192029352373,0.999393478172051,10.9817835305521,"growth"
"10","tmbstan",3,0.9,"diag",0.118958232254943,66,13.345,17.626,229.110030526181,1000,1000,194.896750571773,0.998999632766628,1.01294436954896,0.999358623801023,12.9984131695326,"growth"
"11","tmb",3,0.9,"diag",0.142108295178792,66,75.0784440040588,96.2115030288696,217.24455535691,1000,1000,228.372647812174,0.999000409234681,1.00208764805149,0.99960332967571,2.25798941413194,"growth"
"12","admb",3,0.9,"diag",0.138133,66,NA,43.89,148.357214625336,1000,1000,182.544102479964,0.998999596374487,1.0089839062186,0.999560530354551,3.38020539132686,"growth"
"13","stan",4,0.9,"diag",0.120037463925343,66,10.159,13.797,182.747968858644,1000,1000,159.472224780752,0.998999632225055,1.02263451897186,0.999538517329475,13.2454858924871,"growth"
"14","tmbstan",4,0.9,"diag",0.140445683548439,66,11.81,15.939,209.932480891249,1000,1000,212.982074266702,0.99899989190486,1.00287033868136,0.999256621093944,13.170994472128,"growth"
"15","tmb",4,0.9,"diag",0.164478055233583,66,72.4218599796295,100.870432853699,266.923573289643,1000,1000,242.025019685199,0.998999500000954,1.00350282087749,0.999359242638502,2.64620231854051,"growth"
"16","admb",4,0.9,"diag",0.156713,66,NA,41.11,206.735002917419,1000,1000,228.000623577627,0.998999604208228,1.00648123872899,0.999518829211651,5.02882517434734,"growth"
