"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,500,1000,0.862997931035107,0.8,0.299799474000487,0,0,15,15,0,"diag","iidz"
"2","tmbstan",1,500,1000,0.816715530894022,0.8,0.347808954811063,0,0,15,15,0,"diag","iidz"
"3","tmb",1,500,1000,0.815105256576617,0.8,0.361754730372754,0,0,15,15,0,"diag","iidz"
"4","admb",1,500,1000,0.803256903,0.8,0.362783,0,0,14.992,15,0.25298221281347,"diag","iidz"
"5","stan",2,500,1000,0.887226468940055,0.8,0.277794361915097,0,0,15,15,0,"diag","iidz"
"6","tmbstan",2,500,1000,0.859503386255789,0.8,0.304794626291683,0,0,15,15,0,"diag","iidz"
"7","tmb",2,500,1000,0.830649848103561,0.8,0.345769296328296,0,0,14.992,15,0.25298221281347,"diag","iidz"
"8","admb",2,500,1000,0.822637862,0.8,0.353302,0,0,15,15,0,"diag","iidz"
"9","stan",3,500,1000,0.830238490922504,0.8,0.341514019789863,0,0,15,15,0,"diag","iidz"
"10","tmbstan",3,500,1000,0.814679332826791,0.8,0.356131316799016,0,0,15,15,0,"diag","iidz"
"11","tmb",3,500,1000,0.845324832888029,0.8,0.322683749438931,0,0,15,15,0,"diag","iidz"
"12","admb",3,500,1000,0.808862695,0.8,0.356425,0,0,14.992,15,0.25298221281347,"diag","iidz"
"13","stan",4,500,1000,0.891501888211307,0.8,0.275388331985685,0,0,15,15,0,"diag","iidz"
"14","tmbstan",4,500,1000,0.857064820389532,0.8,0.300757356770895,0,0,15,15,0,"diag","iidz"
"15","tmb",4,500,1000,0.810903183518505,0.8,0.369575319546283,0,0,15,15,0,"diag","iidz"
"16","admb",4,500,1000,0.812779371,0.8,0.354812,0,0,15,15,0,"diag","iidz"
"17","stan",5,500,1000,0.834234999869294,0.8,0.330043634936103,0,0,15,15,0,"diag","iidz"
"18","tmbstan",5,500,1000,0.881530004351368,0.8,0.282769763942198,0,0,15,15,0,"diag","iidz"
"19","tmb",5,500,1000,0.820581336106012,0.8,0.352148506786302,0,0,15,15,0,"diag","iidz"
"20","admb",5,500,1000,0.804188573,0.8,0.364964,0,0,15,15,0,"diag","iidz"
"21","stan",6,500,1000,0.854162711255037,0.8,0.308906788522071,0,0,15,15,0,"diag","iidz"
"22","tmbstan",6,500,1000,0.872894191180234,0.8,0.288909725181033,0,0,15,15,0,"diag","iidz"
"23","tmb",6,500,1000,0.823063023091762,0.8,0.353010608161275,0,0,15,15,0,"diag","iidz"
"24","admb",6,500,1000,0.823781199,0.8,0.338634,0,0,15.04,15,1.26491106406735,"diag","iidz"
"25","stan",7,500,1000,0.869667124699364,0.8,0.294237822711088,0,0,15,15,0,"diag","iidz"
"26","tmbstan",7,500,1000,0.858716174143506,0.8,0.303639393733397,0,0,15,15,0,"diag","iidz"
"27","tmb",7,500,1000,0.830196927929957,0.8,0.343336343775878,0,0,15,15,0,"diag","iidz"
"28","admb",7,500,1000,0.81464456,0.8,0.35653,0,0,15,15,0,"diag","iidz"
"29","stan",8,500,1000,0.900143632737102,0.8,0.264041053860775,0,0,15,15,0,"diag","iidz"
"30","tmbstan",8,500,1000,0.846298792029253,0.8,0.322877054775101,0,0,15,15,0,"diag","iidz"
"31","tmb",8,500,1000,0.822352378621947,0.8,0.353253173274295,0,0,15,15,0,"diag","iidz"
"32","admb",8,500,1000,0.786813217,0.8,0.373112,0,0,15,15,0,"diag","iidz"
"33","stan",9,500,1000,0.871577405594152,0.8,0.300533624275272,0,0,15,15,0,"diag","iidz"
"34","tmbstan",9,500,1000,0.878872360937652,0.8,0.292651310670243,0,0,15,15,0,"diag","iidz"
"35","tmb",9,500,1000,0.819557819077007,0.8,0.357867905650952,0,0,15,15,0,"diag","iidz"
"36","admb",9,500,1000,0.797967654,0.8,0.364897,0,0,15,15,0,"diag","iidz"
"37","stan",10,500,1000,0.826578321702686,0.8,0.341584002370819,0,0,15,15,0,"diag","iidz"
"38","tmbstan",10,500,1000,0.862919656739722,0.8,0.31612347807952,0,0,15,15,0,"diag","iidz"
"39","tmb",10,500,1000,0.828484560068975,0.8,0.337164137159785,0,0,15,15,0,"diag","iidz"
"40","admb",10,500,1000,0.831377505,0.8,0.337463,0,0,15,15,0,"diag","iidz"
