"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.8,"diag",0.658866227805233,32,0.227,0.325,332.138626811935,1000,1000,362.301371364613,0.998999503935556,1.00993739069928,0.999192713814407,1021.96500557519,"iidz"
"2","tmbstan",1,0.8,"diag",0.605173510028513,32,0.184,0.325,374.912607275195,1000,1000,346.393779648001,0.998999689525587,1.00240440225843,0.999199286648949,1153.57725315445,"iidz"
"3","tmb",1,0.8,"diag",0.677597805381515,32,1.07536482810974,2.14201784133911,185.283576208037,1000,1000,199.634235389831,0.998999877361494,1.0092486174242,0.999275638103541,86.499548524864,"iidz"
"4","admb",1,0.8,"diag",0.673812,32,NA,1.22,256.028532001842,1000,1000,359.914063848716,0.998999595909765,1.00188597299726,0.99919735194269,209.859452460526,"iidz"
"5","stan",2,0.8,"diag",0.619941317870703,32,0.368,0.46,335.288843836651,1000,1000,373.242914974355,0.998999504918199,1.00297419567262,0.999363981955352,728.888790949242,"iidz"
"6","tmbstan",2,0.8,"diag",0.620618192111335,32,0.62,0.828,360.819659475229,1000,1000,370.368958848194,0.998999499564619,1.0006368508202,0.999139605083257,435.772535598103,"iidz"
"7","tmb",2,0.8,"diag",0.699146088702565,32,1.04744100570679,2.12475395202637,175.095124378715,1000,1000,183.031941275567,0.999008519081511,1.01817876610746,0.99933714196841,82.4072473011417,"iidz"
"8","admb",2,0.8,"diag",0.699815,32,NA,1.28,238.586030428819,1000,1000,264.508410383524,0.99899971879797,1.0015610104913,0.999328700487223,186.395336272515,"iidz"
"9","stan",3,0.8,"diag",0.551565094785132,32,0.109,0.154,341.369294101555,1000,1000,358.729925575413,0.998999758026006,1.00492429461617,0.999276141786234,2216.68372793218,"iidz"
"10","tmbstan",3,0.8,"diag",0.617190052782576,32,0.481,0.559,378.262950498398,1000,1000,370.715176562914,0.999000332457518,1.00122871420572,0.999254597551247,676.677907868333,"iidz"
"11","tmb",3,0.8,"diag",0.662057120604347,32,1.04732084274292,2.02484488487244,335.083728982712,1000,1000,328.11097226155,0.998999835783779,1.0016415590312,0.999221762009166,165.486122658636,"iidz"
"12","admb",3,0.8,"diag",0.694267,32,NA,0.77000000000001,235.026801050978,1000,1000,215.063610281976,0.998999499673257,1.00581086415069,0.999172011201006,305.229611754513,"iidz"
"13","stan",4,0.8,"diag",0.602085033157013,32,0.078,0.125,206.141911434786,1000,1000,334.946483747745,0.999007691349674,1.02446271836062,0.999193625678237,1649.13529147829,"iidz"
"14","tmbstan",4,0.8,"diag",0.612260861726738,32,0.177,0.24,417.350665395169,1000,1000,365.754530547999,0.999000395281811,1.00103724712403,0.999204116558895,1738.9611058132,"iidz"
