"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model","cor"
"1","stan.nuts",59189,2,1000,0.827065673557901,0.8,1.44297917442411,0,0,2.432,3,0.902324880622379,"diag_e","mvnd",0
"2","tmb.nuts",59189,2,1000,0.811934924080201,0.8,1.24974303186914,0,0,2.872,3,5.87408447625816,"diag_e","mvnd",0
"3","stan.nuts",33032,2,1000,0.837394337944611,0.8,1.49462910010328,0,0,2.462,3,0.887323697048232,"diag_e","mvnd",0
"4","tmb.nuts",33032,2,1000,0.806917919702695,0.8,1.23782508978495,0,0,2.76,3,1.95558486291903,"diag_e","mvnd",0
"5","stan.nuts",19139,2,1000,0.842354943408982,0.8,1.44082516045578,0,0,2.452,3,0.892464280793631,"diag_e","mvnd",0
"6","tmb.nuts",19139,2,1000,0.81419050145438,0.8,1.21503740209244,0,0,2.788,3,1.74716407104358,"diag_e","mvnd",0
"7","stan.nuts",78362,2,1000,0.882326955900501,0.8,1.24122527356952,0,0,2.69,3,0.724171543506388,"diag_e","mvnd",0
"8","tmb.nuts",78362,2,1000,0.81016293176095,0.8,1.23907235834614,0,0,2.767,3,2.00042791820349,"diag_e","mvnd",0
"9","stan.nuts",61413,2,1000,0.844412500093767,0.8,1.43161683953875,0,0,2.482,3,0.876609630590746,"diag_e","mvnd",0
"10","tmb.nuts",61413,2,1000,0.812618896851613,0.8,1.21467381393667,0,0,2.817,3,2.62143986646399,"diag_e","mvnd",0
"11","stan.nuts",59189,2,1000,0.835899037225226,0.8,1.47232601766443,0,0,2.528,3,0.849669310930987,"diag_e","mvnd",1
"12","tmb.nuts",59189,2,1000,0.814088985855678,0.8,17.5257618416017,0,0,2.733,3,1.36221834498354,"diag_e","mvnd",1
"13","stan.nuts",33032,2,1000,0.840214164768286,0.8,1.42020237179065,0,0,2.484,3,0.875505859780796,"diag_e","mvnd",1
"14","tmb.nuts",33032,2,1000,0.81199616441816,0.8,17.6600747079201,0,0,2.753,3,1.39066817716862,"diag_e","mvnd",1
"15","stan.nuts",19139,2,1000,0.837389067906301,0.8,1.39634673352268,0,0,2.396,3,0.91870998036814,"diag_e","mvnd",1
"16","tmb.nuts",19139,2,1000,0.817532533764082,0.8,17.0343608854313,0,0,2.753,3,1.31827915479423,"diag_e","mvnd",1
"17","stan.nuts",78362,2,1000,0.868873759750741,0.8,1.28614442699304,0,0,2.582,3,0.813595684562018,"diag_e","mvnd",1
"18","tmb.nuts",78362,2,1000,0.823171198248021,0.8,16.8388868806551,0,0,2.817,3,1.29975216015936,"diag_e","mvnd",1
"19","stan.nuts",61413,2,1000,0.84941085091464,0.8,1.44640488575449,0,0,2.504,3,0.864135828866464,"diag_e","mvnd",1
"20","tmb.nuts",61413,2,1000,0.814239913466069,0.8,17.3290263730566,0,0,2.764,3,1.49312380911788,"diag_e","mvnd",1
"21","stan.nuts",59189,5,1000,0.803780202669847,0.8,1.22173142739082,0,0,2.972,3,0.235098428900049,"diag_e","mvnd",0
"22","tmb.nuts",59189,5,1000,0.817235287145409,0.8,1.00676584272908,0,0,3.595,3,3.32528250707755,"diag_e","mvnd",0
"23","stan.nuts",33032,5,1000,0.84726231752769,0.8,1.09825708299293,0,0,3.012,3,0.268193825297914,"diag_e","mvnd",0
"24","tmb.nuts",33032,5,1000,0.806589526464313,0.8,1.04799825509339,0,0,3.524,3,5.94635212140821,"diag_e","mvnd",0
"25","stan.nuts",19139,5,1000,0.868513872021076,0.8,1.02325365989574,0,0,3.236,3,0.872390431552906,"diag_e","mvnd",0
"26","tmb.nuts",19139,5,1000,0.807989560928421,0.8,1.04907671878077,0,0,3.49,3,2.40057938645972,"diag_e","mvnd",0
"27","stan.nuts",78362,5,1000,0.872575980034285,0.8,0.992720675319351,0,0,3.336,3,1.01594101016552,"diag_e","mvnd",0
"28","tmb.nuts",78362,5,1000,0.811972035846109,0.8,1.01837507538601,0,0,3.624,3,3.61900160075858,"diag_e","mvnd",0
"29","stan.nuts",61413,5,1000,0.825091506997618,0.8,1.18500724034496,0,0,2.97,3,0.243226559321056,"diag_e","mvnd",0
"30","tmb.nuts",61413,5,1000,0.811872283753394,0.8,1.03487824098158,0,0,3.694,3,6.1541287482734,"diag_e","mvnd",0
"31","stan.nuts",59189,5,1000,0.867739888541298,0.8,1.00199747077992,0,0,3.268,3,0.834789118803589,"diag_e","mvnd",1
"32","tmb.nuts",59189,5,1000,0.80977263371656,0.8,14.1495290553024,0,0,3.629,3,1.7354725386667,"diag_e","mvnd",1
"33","stan.nuts",33032,5,1000,0.831248367005141,0.8,1.13631921266487,0,0,2.986,3,0.189314130058588,"diag_e","mvnd",1
"34","tmb.nuts",33032,5,1000,0.813829944307309,0.8,14.1969050694165,0,0,3.632,3,1.91269579457929,"diag_e","mvnd",1
"35","stan.nuts",19139,5,1000,0.820696539095387,0.8,1.17735659138711,0,0,2.96,3,0.280140105087577,"diag_e","mvnd",1
"36","tmb.nuts",19139,5,1000,0.814733985149991,0.8,14.2896018967438,0,0,3.536,3,1.81503475878226,"diag_e","mvnd",1
"37","stan.nuts",78362,5,1000,0.821438478771119,0.8,1.08255330939969,0,0,2.99,3,0.167116510039936,"diag_e","mvnd",1
"38","tmb.nuts",78362,5,1000,0.806160964233984,0.8,14.7462066958417,0,0,3.397,3,1.55614967175412,"diag_e","mvnd",1
"39","stan.nuts",61413,5,1000,0.834197384645547,0.8,1.11745935352875,0,0,3.006,3,0.289910413831666,"diag_e","mvnd",1
"40","tmb.nuts",61413,5,1000,0.805103677848562,0.8,14.3899504616145,0,0,3.547,3,2.02505343650738,"diag_e","mvnd",1
"41","stan.nuts",59189,15,1000,0.800384817195607,0.8,0.921960929873697,0,0,4.592,3,1.85822199669173,"diag_e","mvnd",0
"42","tmb.nuts",59189,15,1000,0.804034994374361,0.8,0.805747635316232,0,0,6.5,7,9.04869821961893,"diag_e","mvnd",0
"43","stan.nuts",33032,15,1000,0.84430858830155,0.8,0.827528715089518,0,0,5.832,7,1.72242350853173,"diag_e","mvnd",0
"44","tmb.nuts",33032,15,1000,0.797362801317602,0.8,0.806207401123598,0,0,6.54,7,9.10020916811541,"diag_e","mvnd",0
"45","stan.nuts",19139,15,1000,0.816349663119166,0.8,0.865991565186913,0,0,5.218,7,1.88042867772538,"diag_e","mvnd",0
"46","tmb.nuts",19139,15,1000,0.791318142862757,0.8,0.821729116410882,0,0,6.122,7,6.64584077448444,"diag_e","mvnd",0
"47","stan.nuts",78362,15,1000,0.832774752355162,0.8,0.838071044496944,0,0,5.7,7,1.7824637940719,"diag_e","mvnd",0
"48","tmb.nuts",78362,15,1000,0.801425111927664,0.8,0.793604975637302,0,0,8.088,7,64.6043583480153,"diag_e","mvnd",0
"49","stan.nuts",61413,15,1000,0.808070845003997,0.8,0.853789966791383,0,0,5.08,5,1.86254370930431,"diag_e","mvnd",0
"50","tmb.nuts",61413,15,1000,0.812146074384561,0.8,0.788860916518439,0,0,6.445,7,6.84670823877091,"diag_e","mvnd",0
"51","stan.nuts",59189,15,1000,0.852538685535008,0.8,0.723955044197051,0,0,6.486,7,1.28275073550922,"diag_e","mvnd",1
"52","tmb.nuts",59189,15,1000,0.80229328299895,0.8,10.6391457224754,0,0,6.431,7,2.33258643564175,"diag_e","mvnd",1
"53","stan.nuts",33032,15,1000,0.829128679561519,0.8,0.811376068396696,0,0,5.882,7,1.67955258830943,"diag_e","mvnd",1
"54","tmb.nuts",33032,15,1000,0.800214714035333,0.8,10.8494236984763,0,0,6.337,7,2.12430867429191,"diag_e","mvnd",1
"55","stan.nuts",19139,15,1000,0.836301095127551,0.8,0.749476364380646,0,0,6.25,7,1.47908339443308,"diag_e","mvnd",1
"56","tmb.nuts",19139,15,1000,0.802382778384696,0.8,10.6085342666455,0,0,6.313,7,2.02782815926837,"diag_e","mvnd",1
"57","stan.nuts",78362,15,1000,0.858397926192944,0.8,0.710052789293063,0,0,6.622,7,1.12711418515889,"diag_e","mvnd",1
"58","tmb.nuts",78362,15,1000,0.799592613465439,0.8,10.9452544247477,0,0,6.359,7,2.26488053590492,"diag_e","mvnd",1
