"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.8,"diag",0.624104135478996,16,0.125,0.187,351.477974607527,1000,1000,340.734764609783,0.99899975121605,1.00110229580954,0.999380980980122,1879.56136153758,"mvnd"
"2","tmbstan",1,0.8,"diag",0.605687086611587,16,0.062,0.109,425.830813383321,1000,1000,515.937484962082,0.998999733034248,1.00093178271821,0.999132464471266,3906.70470993872,"mvnd"
"3","tmb",1,0.8,"diag",0.744868639168727,16,0.625030040740967,1.29702186584473,388.260553259697,1000,1000,432.609575163616,0.998999540172958,1.00209621473675,0.999333013810952,299.347731510162,"mvnd"
"4","admb",1,0.8,"diag",0.780399,16,NA,0.740000000000002,163.396255645101,1000,1000,143.640303699736,0.999000087415254,1.01015367382017,0.999559647261536,220.805750871757,"mvnd"
"5","stan",2,0.8,"diag",0.576632257358647,16,0.156,0.234,442.834643090881,1000,1000,399.088738353259,0.998999553716974,1.00416788203101,0.99920926725154,1892.45573970462,"mvnd"
"6","tmbstan",2,0.8,"diag",0.600340469113242,16,0.094,0.125,359.301499804819,1000,1000,371.71740142416,0.999000116690022,1.00063481009103,0.99909160482473,2874.41199843855,"mvnd"
"7","tmb",2,0.8,"diag",0.76518635950666,16,0.640634059906006,1.34377098083496,330.479356450362,1000,1000,338.940809370869,0.999005713328291,1.00852719221979,0.999447522714164,245.934285799963,"mvnd"
"8","admb",2,0.8,"diag",0.781146,16,NA,1.01,357.366521833988,1000,1000,322.342755190166,0.999003774879437,1.00274956669963,0.999514213108911,353.828239439593,"mvnd"
"9","stan",3,0.8,"diag",0.647765798197962,16,0.203,0.281,308.356304149449,1000,1000,344.535672238187,0.998999515072468,1.00087056524266,0.999083167925658,1097.35339554964,"mvnd"
"10","tmbstan",3,0.8,"diag",0.643904109898371,16,0.11,0.172,370.89219473798,1000,1000,378.956176037082,0.999001784507969,1.00063277692996,0.999166517299891,2156.34996940686,"mvnd"
"11","tmb",3,0.8,"diag",0.738247284957065,16,0.687523126602173,1.40627217292786,243.698966493211,1000,1000,258.142871755075,0.99899961984127,1.00181258578195,0.99946215193652,173.294310436244,"mvnd"
"12","admb",3,0.8,"diag",0.785066,16,NA,0.869999999999997,306.673333838613,1000,1000,326.671528400365,0.999000799243503,1.00223948954537,0.999567626299192,352.49808487197,"mvnd"
