"","platform","seed","delta.target","metric","eps.final","Npar","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","samples.per.time","time.total","model","cor"
"1","stan.nuts",59189,0.8,"diag_e",1.01373570235209,5,0.190000000000012,2828.87209975321,4732.58521982631,5000,2734.07563877031,0.999800378824644,1.00061379690955,1.00038024039169,14888.8005250159,0.190000000000012,"mvnd",0
"2","tmb.nuts",59189,0.8,"diag_e",1.06350046270729,5,6.86,1567.75381526306,5000,5000,1496.927464289,0.999799981782231,0.999929760480915,0.999817566163974,228.535541583537,6.86,"mvnd",0
"3","stan.nuts",33032,0.8,"diag_e",1.13229725715697,5,0.209999999999994,2437.09627597268,3773.63879398496,5000,2601.39679792463,0.999805521045704,1.00056826945489,0.999909192333964,11605.220361775,0.209999999999994,"mvnd",0
"4","tmb.nuts",33032,0.8,"diag_e",1.08482182422615,5,6.98,1207.7950490953,5000,5000,1400.27039403436,0.999807589896189,1.00051128631791,0.999857956551243,173.036539985,6.98,"mvnd",0
"5","stan.nuts",19139,0.8,"diag_e",1.09196310900161,5,0.179999999999993,2538.45858601902,4588.83973427107,5000,2582.14716792478,0.99980036916766,1.00016787232505,0.999840831099086,14102.5477001063,0.179999999999993,"mvnd",0
"6","tmb.nuts",19139,0.8,"diag_e",1.07204938384377,5,6.70999999999999,1556.06616622872,5000,5000,1516.07960966248,0.99983775605997,1.00407445489112,0.999987536784416,231.902558305324,6.70999999999999,"mvnd",0
"7","stan.nuts",59189,0.8,"diag_e",1.1126982358483,5,0.190000000000012,2499.74293882891,4112.13487087535,5000,2455.97504735815,0.999800367575278,1.00087736653968,0.999927682670473,13156.5417833092,0.190000000000012,"mvnd",1
"8","tmb.nuts",59189,0.8,"diag_e",21.1957954335094,5,6.63999999999999,1570.11761285882,5000,5000,1531.42956459904,0.999800005782765,1.0001819895806,0.99980757163649,236.463495912474,6.63999999999999,"mvnd",1
"9","stan.nuts",33032,0.8,"diag_e",1.14351256147877,5,0.210000000000008,2287.22461444533,4264.50742947085,5000,2404.74428972975,0.999803391947874,1.00046582016759,0.999907651850273,10891.5457830726,0.210000000000008,"mvnd",1
"10","tmb.nuts",33032,0.8,"diag_e",21.5751398111761,5,6.44,1325.0676824155,5000,5000,1494.31370603881,0.999821031479105,1.00026221544088,0.999902120423,205.755851306755,6.44,"mvnd",1
"11","stan.nuts",19139,0.8,"diag_e",1.0442409757381,5,0.200000000000003,2499.14638056262,4521.28627905867,5000,2522.90590810132,0.999814264715819,1.00026716412549,1.00003295757918,12495.7319028129,0.200000000000003,"mvnd",1
"12","tmb.nuts",19139,0.8,"diag_e",21.6094887673517,5,6.46999999999998,1467.83517157406,5000,5000,1480.05222878486,0.999816366984873,0.999952781693813,0.99985741338248,226.867878141277,6.46999999999998,"mvnd",1
"13","stan.nuts",59189,0.8,"diag_e",0.742981321090908,15,0.430000000000007,2407.3577761074,3926.28733743072,5000,2452.17598924194,0.999800388611438,1.00049215032253,0.999997640451957,5598.50645606364,0.430000000000007,"mvnd",0
"14","tmb.nuts",59189,0.8,"diag_e",0.825445259287066,15,13.56,1229.65503436217,5000,5000,1600.09097187367,0.999800005603496,1.00062695234343,0.999823459839811,90.6825246579773,13.56,"mvnd",0
"15","stan.nuts",33032,0.8,"diag_e",0.872193414206495,15,0.390000000000015,2127.48025568874,3888.97746759408,5000,2208.61903999711,0.999800125803274,1.00049912472133,0.99996272348362,5455.07757868887,0.390000000000015,"mvnd",0
"16","tmb.nuts",33032,0.8,"diag_e",0.816220125446814,15,14.03,1627.69996871621,5000,5000,1573.33295758805,0.999801644300333,1.0012145512012,0.999955732367337,116.015678454469,14.03,"mvnd",0
