"X","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
4,"admb",1,0.9,"diag",0.123498,38,NA,17.58,189.140220719285,875.248971009844,1000,168.578747673652,0.998999499499679,1.0104490335056,0.999558268998434,10.7588293924508,"growth",8.12292579697338,3.21045371422783,8.80821796626472,4.11643786291327,10.7588293924508
8,"admb",2,0.9,"diag",0.13944,38,NA,16.87,180.114585696133,882.66246397236,1000,174.361046893636,0.999000329247554,1.01390628377892,0.999552160862997,10.6766203732148,"growth",8.12292579697338,3.21045371422783,8.80821796626472,4.11643786291327,10.7588293924508
12,"admb",3,0.9,"diag",0.114853,38,NA,18.16,126.027050557154,744.846454685616,1000,164.070716641624,0.998999575880388,1.00804858549046,0.999435593191096,6.93981555931465,"growth",8.12292579697338,3.21045371422783,8.80821796626472,4.11643786291327,10.7588293924508
16,"admb",4,0.9,"diag",0.120147,38,NA,18.07,74.3840321828428,679.267850900765,1000,109.906036694222,0.998999863286813,1.00853463877753,0.999280945261914,4.11643786291327,"growth",8.12292579697338,3.21045371422783,8.80821796626472,4.11643786291327,10.7588293924508
20,"admb",1,0.9,"diag",0.110388,70,NA,72.54,72.5527639028196,664.105308763074,1000,68.802271999734,0.999000646145121,1.04289129413103,1.00039166301964,1.00017595675241,"growth",1.08543223768152,0.150499335171728,1.10250294389032,0.916963233883084,1.21975982906236
24,"admb",2,0.9,"diag",0.111729,70,NA,64.89,78.1814142244227,643.793131615284,1000,73.4806404292268,0.998999499531494,1.01451999315995,0.999430581194919,1.20482993102824,"growth",1.08543223768152,0.150499335171728,1.10250294389032,0.916963233883084,1.21975982906236
28,"admb",3,0.9,"diag",0.125525,70,NA,85.41,104.179687000216,1000,1000,93.4592680250966,0.998999523553858,1.01402796683401,0.999974340398457,1.21975982906236,"growth",1.08543223768152,0.150499335171728,1.10250294389032,0.916963233883084,1.21975982906236
32,"admb",4,0.9,"diag",0.117983,70,NA,79.1999999999998,72.6234881235401,841.130249580665,1000,85.2798573960873,0.998999777193993,1.01020712714443,0.999803841538704,0.916963233883084,"growth",1.08543223768152,0.150499335171728,1.10250294389032,0.916963233883084,1.21975982906236
36,"admb",1,0.9,"diag",0.152147,134,NA,238.36,136.601834043965,1000,1000,164.317432566324,0.99899995238842,1.00974804131252,0.999283297325377,0.573090426430462,"growth",0.520408189472479,0.154019333642137,0.520516941526841,0.339139459127044,0.70145941570919
40,"admb",2,0.9,"diag",0.121124,134,NA,218.26,102.133338842584,1000,1000,86.693096325986,0.998999544898671,1.02642701834443,0.999533878098189,0.46794345662322,"growth",0.520408189472479,0.154019333642137,0.520516941526841,0.339139459127044,0.70145941570919
44,"admb",3,0.9,"diag",0.0728474,134,NA,308.5,104.624523140693,1000,1000,101.244271663459,0.998999600764388,1.01560330480109,0.999349623108635,0.339139459127044,"growth",0.520408189472479,0.154019333642137,0.520516941526841,0.339139459127044,0.70145941570919
48,"admb",4,0.9,"diag",0.147138,134,NA,234.76,164.674612431889,1000,1000,149.799884568383,0.998999799770393,1.00545150178285,0.999606782770224,0.70145941570919,"growth",0.520408189472479,0.154019333642137,0.520516941526841,0.339139459127044,0.70145941570919
