"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",59189,28,1000,0.979779992063898,0.98,0.0124966455077385,0,3,301.902,255,99.9819823407837,"diag","sslog"
"2","tmbstan",59189,28,1000,0.981436456070403,0.98,0.0117263917515844,0,1,323.824,255,113.720523131849,"diag","sslog"
"3","tmb",59189,28,1000,0.972940196934985,0.98,0.0123141351901362,0,3,296.561,255,95.7577455082607,"diag","sslog"
"4","admb",59189,28,1000,0.9800194079728,0.98,0.0102577,0,2,460.16,511,102.04954929107,"diag","sslog"
"5","stan",33032,28,1000,0.998681775959103,0.98,0.00359410445700793,0,0,1030.68,1023,92.7381796778973,"diag","sslog"
"6","tmbstan",33032,28,1000,0.969132163555047,0.98,0.0141995916874926,0,7,255.447,255,24.6327823228511,"diag","sslog"
"7","tmb",33032,28,1000,0.97291594593363,0.98,0.0114740057322508,0,3,357.137,255,125.7566975472,"diag","sslog"
"8","admb",33032,28,1000,0.9866178151,0.98,0.0101197,0,1,464.588,511,103.980855325749,"diag","sslog"
"9","stan",19139,28,1000,0.969926390195965,0.98,0.0159481335961962,0,4,254.091,255,17.291260992383,"diag","sslog"
"10","tmbstan",19139,28,1000,0.98057289688752,0.98,0.0115196759848016,0,3,359.853,255,126.581326518658,"diag","sslog"
"11","tmb",19139,28,1000,0.969262326955754,0.98,0.0127723478571592,0,2,268.579,255,59.917191429746,"diag","sslog"
"12","admb",19139,28,1000,0.985697514,0.98,0.0108563,0,0,432.92,511,117.923278022193,"diag","sslog"
"13","stan",78362,28,1000,0.978560904065575,0.98,0.0120507870501848,0,4,310.32,255,106.524922713697,"diag","sslog"
"14","tmbstan",78362,28,1000,0.965377088100876,0.98,0.0153177781773492,0,6,254.401,255,16.8501669762388,"diag","sslog"
"15","tmb",78362,28,1000,0.986291740155599,0.98,0.0108918292636669,0,0,413.72,511,124.321105759792,"diag","sslog"
"16","admb",78362,28,1000,0.9795164882,0.98,0.0116595,0,1,364.401,255,128.524132565257,"diag","sslog"
"17","stan",61413,28,1000,0.985657135268633,0.98,0.00994937373237061,0,2,472.83,511,91.0553687608819,"diag","sslog"
"18","tmbstan",61413,28,1000,0.983135761140917,0.98,0.0118298542563417,0,0,367.128,255,130.639390178714,"diag","sslog"
"19","tmb",61413,28,1000,0.985241448524152,0.98,0.0102464218223944,0,1,458.378,511,104.057046781969,"diag","sslog"
"20","admb",61413,28,1000,0.97282780561,0.98,0.0121983,0,3,307.589,255,106.142603752364,"diag","sslog"
"21","stan",72018,28,1000,0.997815488102644,0.98,0.0043282483323783,0,0,1002.008,1023,101.575378382231,"diag","sslog"
"22","tmbstan",72018,28,1000,0.991019263854518,0.98,0.00807727526929865,0,0,507.928,511,34.2254612561788,"diag","sslog"
"23","tmb",72018,28,1000,0.952168065742748,0.98,0.0118898186871978,0,14,309.472,255,116.396793037564,"diag","sslog"
"24","admb",72018,28,1000,0.96270910894524,0.98,0.0133901,0,3,258.948,255,35.4379901679983,"diag","sslog"
"25","stan",66788,28,1000,0.982809042531661,0.98,0.0125102546455294,0,1,283.958,255,81.8882159771228,"diag","sslog"
"26","tmbstan",66788,28,1000,0.985449402086443,0.98,0.0109225023360538,0,1,421.612,511,122.152505871516,"diag","sslog"
"27","tmb",66788,28,1000,0.990137864244106,0.98,0.00875600815305006,0,0,502.296,511,46.4178737449595,"diag","sslog"
"28","admb",66788,28,1000,0.9776813717,0.98,0.0122286,0,1,309.472,255,108.259916060495,"diag","sslog"
"29","stan",19639,28,1000,0.986346111495961,0.98,0.0117867854009574,0,0,354.84,255,124.926462453001,"diag","sslog"
"30","tmbstan",19639,28,1000,0.985150613082023,0.98,0.0103792230796283,0,0,447.512,511,111.200897008502,"diag","sslog"
"31","tmb",19639,28,1000,0.979490902927885,0.98,0.010565117304294,0,1,442.945,511,113.113113968061,"diag","sslog"
"32","admb",19639,28,1000,0.988866794,0.98,0.00928034,0,0,493.418,511,65.3525533719397,"diag","sslog"
"33","stan",68716,28,1000,0.991848208035556,0.98,0.00847285932418556,0,0,502.552,511,45.7538272574952,"diag","sslog"
"34","tmbstan",68716,28,1000,0.995737702710636,0.98,0.00577591278559553,0,0,773.656,1023,256.041510148099,"diag","sslog"
"35","tmb",68716,28,1000,0.984463917031235,0.98,0.0107373615664091,0,0,417.202,511,126.701319726435,"diag","sslog"
"36","admb",68716,28,1000,0.98242870411132,0.98,0.0108361,0,1,434.325,511,119.196750124491,"diag","sslog"
"37","stan",34163,28,1000,0.977303894073507,0.98,0.0134264245166205,0,2,259.807,255,39.7526606030971,"diag","sslog"
"38","tmbstan",34163,28,1000,0.99749187050595,0.98,0.00414933300316777,0,0,1010.2,1023,89.2781865552532,"diag","sslog"
"39","tmb",34163,28,1000,0.982405417938142,0.98,0.0111143646845891,0,1,397.684,511,127.489268794113,"diag","sslog"
"40","admb",34163,28,1000,0.97985631909,0.98,0.0112306,0,0,399.474,511,126.946251124933,"diag","sslog"
"41","stan",52953,28,1000,0.985261817674067,0.98,0.0116978697619738,0,0,354.84,255,126.492018051064,"diag","sslog"
"42","tmbstan",52953,28,1000,0.98330762749667,0.98,0.0113857492756944,0,0,396.056,511,129.43949724658,"diag","sslog"
"43","tmb",52953,28,1000,0.976724799140865,0.98,0.0119668074644384,0,5,348.096,255,125.13739709676,"diag","sslog"
"44","admb",52953,28,1000,0.97952844,0.98,0.0103849,0,0,446.744,511,111.054200728741,"diag","sslog"
"45","stan",75834,28,1000,0.98366254469593,0.98,0.0107740224344533,0,0,423.448,511,122.040670357145,"diag","sslog"
"46","tmbstan",75834,28,1000,0.982434557447417,0.98,0.0106653359368085,0,1,424.17,511,122.927825777366,"diag","sslog"
"47","tmb",75834,28,1000,0.987581623949813,0.98,0.00897327397501667,0,1,498.873,511,62.5476544730502,"diag","sslog"
"48","admb",75834,28,1000,0.9617745739052,0.98,0.0119037,0,5,321.302,255,118.073079268934,"diag","sslog"
"49","stan",23712,28,1000,0.968428522914637,0.98,0.0140922317053968,0,3,255.973,255,19.2686676382295,"diag","sslog"
"50","tmbstan",23712,28,1000,0.990515358190827,0.98,0.00842187534009952,0,0,508.696,511,46.4708416442302,"diag","sslog"
"51","tmb",23712,28,1000,0.967668581001965,0.98,0.0114843183678475,0,2,355.412,255,127.019258965513,"diag","sslog"
"52","admb",23712,28,1000,0.981859297,0.98,0.0106443,0,0,425.752,511,120.709723441541,"diag","sslog"
"53","stan",80542,28,1000,0.9906458744751,0.98,0.00928764872136518,0,0,485.912,511,76.150634765412,"diag","sslog"
"54","tmbstan",80542,28,1000,0.969466008584025,0.98,0.0136914145912756,0,6,256.618,255,23.7105940091822,"diag","sslog"
"55","tmb",80542,28,1000,0.983526706933486,0.98,0.011392235832572,0,0,380.562,255,130.01114973361,"diag","sslog"
"56","admb",80542,28,1000,0.98102716804,0.98,0.0106508,0,0,439.576,511,114.875378461081,"diag","sslog"
"57","stan",38632,28,1000,0.98780231031226,0.98,0.00924932989587132,0,0,491.288,511,68.2815599369803,"diag","sslog"
"58","tmbstan",38632,28,1000,0.985514677314151,0.98,0.0116091925163406,0,1,362.152,255,126.808459028888,"diag","sslog"
"59","tmb",38632,28,1000,0.984924871193347,0.98,0.00982197923651085,0,0,475.672,511,88.3385766249384,"diag","sslog"
"60","admb",38632,28,1000,0.98571622,0.98,0.0112269,0,1,399.757,511,129.96254157723,"diag","sslog"
"61","stan",47339,28,1000,0.987757906755423,0.98,0.00994106688591414,0,1,464.652,511,100.585069728326,"diag","sslog"
"62","tmbstan",47339,28,1000,0.957463125371183,0.98,0.0132597124910331,0,6,260.275,255,44.934936558579,"diag","sslog"
"63","tmb",47339,28,1000,0.979433980640181,0.98,0.011672330118983,0,1,345.711,255,122.80242633969,"diag","sslog"
"64","admb",47339,28,1000,0.943705181652472,0.98,0.0149901,0,6,253.205,255,25.1984113573641,"diag","sslog"
"65","stan",54263,28,1000,0.98169834524044,0.98,0.0120796926294642,0,1,322.993,255,113.789423867001,"diag","sslog"
"66","tmbstan",54263,28,1000,0.988483915117349,0.98,0.00906785888979091,0,0,500.248,511,51.3765125523526,"diag","sslog"
