"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.98,"diag",0.0160801246182703,28,6.675,9.41,189.947323670942,1000,1000,294.269761007204,0.999000286244925,1.00355964556474,0.9993685004666,20.1856879565295,"sslog"
"2","tmbstan",1,0.98,"diag",0.00789509587410795,28,8.407,16.094,216.98114963211,1000,1000,269.840553570904,0.998999522901711,1.00149163883219,0.999273844180095,13.4821144297322,"sslog"
"3","tmb",1,0.98,"diag",0.0101134153609355,28,185.896014928818,299.910166978836,408.921840388857,1000,1000,385.163581735389,0.998999542850812,1.00624120906609,0.999469743509261,1.36348108671392,"sslog"
"4","admb",1,0.98,"diag",0.0126113,28,NA,29.8299999999945,197.396273354356,854.97790603824,1000,182.678814377986,0.998999616625527,1.02964824946727,0.999403129487274,6.61737423246372,"sslog"
"5","stan",2,0.98,"diag",0.0156479163752028,28,6.203,8.922,231.495247197682,1000,1000,213.916124314619,0.999002068740194,1.00298104018662,0.999147997614098,25.9465643575075,"sslog"
"6","tmbstan",2,0.98,"diag",0.00976704893539436,28,8.89,16.423,320.170709834567,1000,1000,330.726255873248,0.999009751419231,1.0041217465674,0.999793032540218,19.4952633401064,"sslog"
"7","tmb",2,0.98,"diag",0.0122709981068963,28,144.571352005005,218.510897874832,79.8852178675512,868.449285417442,1000,83.0075740879711,0.998999621951308,1.01866479302098,0.999864770674267,0.365589170354841,"sslog"
"8","admb",2,0.98,"diag",0.0100598,28,NA,36.3100000000049,327.263117459233,1000,1000,384.750637790301,0.998999530027508,1.00397707006109,0.999326215466614,9.01302994930291,"sslog"
"9","stan",3,0.98,"diag",0.00998333043692006,28,5.861,11.064,401.563552439813,1000,1000,360.325902888815,0.998999888660578,1.01431913381147,0.99968251758638,36.2946088611545,"sslog"
"10","tmbstan",3,0.98,"diag",0.0111183536623226,28,8.768,15.384,230.8739100206,1000,1000,318.960616714642,0.999003134408356,1.00334127744737,0.999523868677081,15.0074044475169,"sslog"
"11","tmb",3,0.98,"diag",0.0120657628098913,28,176.154329776764,258.086535930634,264.640328594626,878.617289111543,1000,267.346598258504,0.999000262464179,1.00418603891852,0.999580801452287,1.02539377980475,"sslog"
