"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,177,1000,0.953835795531011,0.9,0.107094148232653,0,0,31.64,31,5.1225619216014,"diag","swallows"
"2","tmbstan",1,177,1000,0.910274829976738,0.9,0.13242156217486,0,0,31,31,0,"diag","swallows"
"3","tmb",1,177,1000,0.897460455939838,0.9,0.14277577959169,0,0,31,31,0,"diag","swallows"
"4","admb",1,177,1000,0.973778155,0.9,0.0797945,0,0,62.936,63,1.43036706825554,"diag","swallows"
"5","stan",2,177,1000,0.950155714576177,0.9,0.11057191368386,0,0,31.512,31,4.26474431168435,"diag","swallows"
"6","tmbstan",2,177,1000,0.957014716346852,0.9,0.0950146041243063,0,0,43.192,31,20.990372358101,"diag","swallows"
"7","tmb",2,177,1000,0.921786481737513,0.9,0.129667400441444,0,0,31,31,0,"diag","swallows"
"8","admb",2,177,1000,0.929370761,0.9,0.122458,0,0,31,31,0,"diag","swallows"
"9","stan",3,177,1000,0.907133007513585,0.9,0.142137559779567,0,0,31,31,0,"diag","swallows"
"10","tmbstan",3,177,1000,0.908957907999071,0.9,0.129378083580157,0,0,31,31,0,"diag","swallows"
"11","tmb",3,177,1000,0.906642366949504,0.9,0.138372509633994,0,0,31,31,0,"diag","swallows"
"12","admb",3,177,1000,0.911132515,0.9,0.13537,0,0,31,31,0,"diag","swallows"
"13","stan",4,177,1000,0.935019589734739,0.9,0.124755318164902,0,0,31,31,0,"diag","swallows"
"14","tmbstan",4,177,1000,0.932972081256285,0.9,0.109900968746769,0,0,31,31,0,"diag","swallows"
"15","tmb",4,177,1000,0.902486207204346,0.9,0.143287411403709,0,0,31,31,0,"diag","swallows"
"16","admb",4,177,1000,0.905877149,0.9,0.138072,0,0,31,31,0,"diag","swallows"
"17","stan",5,177,1000,0.930797507254591,0.9,0.127769276218101,0,0,31,31,0,"diag","swallows"
"18","tmbstan",5,177,1000,0.940472358132681,0.9,0.114673782472566,0,0,31,31,0,"diag","swallows"
"19","tmb",5,177,1000,0.896109385278465,0.9,0.14258942469309,0,0,31,31,0,"diag","swallows"
"20","admb",5,177,1000,0.89991206,0.9,0.143764,0,0,31,31,0,"diag","swallows"
"21","stan",6,177,1000,0.914952337396826,0.9,0.13825789685713,0,0,31,31,0,"diag","swallows"
"22","tmbstan",6,177,1000,0.925565459017291,0.9,0.120415731508638,0,0,31,31,0,"diag","swallows"
"23","tmb",6,177,1000,0.883505765797027,0.9,0.151096603791789,0,0,30.968,31,0.71518353412777,"diag","swallows"
"24","admb",6,177,1000,0.880400425,0.9,0.15298,0,0,31,31,0,"diag","swallows"
"25","stan",7,177,1000,0.934036893718994,0.9,0.122616415437197,0,0,31,31,0,"diag","swallows"
"26","tmbstan",7,177,1000,0.897753396088715,0.9,0.142185995850147,0,0,31.064,31,1.43036706825554,"diag","swallows"
"27","tmb",7,177,1000,0.920200343564464,0.9,0.134185403690513,0,0,31,31,0,"diag","swallows"
"28","admb",7,177,1000,0.912560883,0.9,0.142208,0,0,31,31,0,"diag","swallows"
"29","stan",8,177,1000,0.916649851852889,0.9,0.148538299702088,0,0,31,31,0,"diag","swallows"
"30","tmbstan",8,177,1000,0.937596641863022,0.9,0.114118122728787,0,0,31.032,31,1.01192885125388,"diag","swallows"
"31","tmb",8,177,1000,0.869535514548674,0.9,0.159309261260692,0,0,30.808,31,1.74303590731063,"diag","swallows"
"32","admb",8,177,1000,0.897610497,0.9,0.144773,0,0,31,31,0,"diag","swallows"
"33","stan",9,177,1000,0.92818807256356,0.9,0.132964044607328,0,0,31,31,0,"diag","swallows"
"34","tmbstan",9,177,1000,0.933640579020148,0.9,0.117104820405747,0,0,31,31,0,"diag","swallows"
"35","tmb",9,177,1000,0.89122772263255,0.9,0.146593637612034,0,0,30.984,31,0.505964425626941,"diag","swallows"
"36","admb",9,177,1000,0.430288105139315,0.9,0.134275,0,34,30.625,31,4.81742489122379,"diag","swallows"
"37","stan",10,177,1000,0.945723547055543,0.9,0.109096455307023,0,0,31.32,31,3.18555297362134,"diag","swallows"
"38","tmbstan",10,177,1000,0.925697558349303,0.9,0.125548874227085,0,0,31,31,0,"diag","swallows"
"39","tmb",10,177,1000,0.904841567281844,0.9,0.137133075948509,0,0,31,31,0,"diag","swallows"
"40","admb",10,177,1000,0.920113541,0.9,0.1403,0,0,31,31,0,"diag","swallows"
"41","stan",11,177,1000,0.928900098639585,0.9,0.12300790905885,0,0,31,31,0,"diag","swallows"
"42","tmbstan",11,177,1000,0.95224160177936,0.9,0.107717613939121,0,0,31.128,31,2.02081659229622,"diag","swallows"
"43","tmb",11,177,1000,0.886665826956127,0.9,0.143363821943551,0,0,31,31,0,"diag","swallows"
"44","admb",11,177,1000,0.917325652,0.9,0.140374,0,0,31,31,0,"diag","swallows"
"45","stan",12,177,1000,0.955217544375904,0.9,0.103616480433104,0,0,34.84,31,12.7903867804689,"diag","swallows"
"46","tmbstan",12,177,1000,0.914239750894778,0.9,0.127969018054815,0,0,31,31,0,"diag","swallows"
"47","tmb",12,177,1000,0.907572755864301,0.9,0.132379645561947,0,0,31,31,0,"diag","swallows"
"48","admb",12,177,1000,0.84170383783,0.9,0.160874,0,0,30.984,31,0.505964425626941,"diag","swallows"
"49","stan",13,177,1000,0.927323442670566,0.9,0.127634338416932,0,0,31,31,0,"diag","swallows"
"50","tmbstan",13,177,1000,0.933962501702623,0.9,0.135129044121361,0,0,31,31,0,"diag","swallows"
"51","tmb",13,177,1000,0.909201148505916,0.9,0.135921441872582,0,0,31,31,0,"diag","swallows"
