"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.9,"diag",0.107094148232653,177,261.22,414.517,112.478509664061,1000,1000,106.12123939034,0.998999499512804,1.01990647487101,0.999672592033494,0.2713483636716,"swallows"
"2","tmbstan",1,0.9,"diag",0.13242156217486,177,133.211,210.966,19.2366067980991,1000,1000,14.6886714807013,0.998999644122312,1.01018866011115,1.00005526245303,0.0911834456647,"swallows"
"3","tmb",1,0.9,"diag",0.14277577959169,177,248.45644903183,397.047882080078,13.1642407861312,1000,1000,8.19345269087101,0.999000081139879,1.0925840341735,1.00140050582048,0.0331552978375444,"swallows"
"4","admb",1,0.9,"diag",0.0797945,177,NA,731.799999999999,172.597682716228,1000,1000,163.061093967965,0.998999500993414,1.01112558016974,0.999316169008868,0.235853624919689,"swallows"
"5","stan",2,0.9,"diag",0.11057191368386,177,247.297,389.428,166.668495799203,1000,1000,151.168284954638,0.998999539775577,1.02335141418515,0.999879750735866,0.427982825578034,"swallows"
"6","tmbstan",2,0.9,"diag",0.0950146041243063,177,137.224,227.435,15.2335501707445,514.815456301537,1000,13.6230314650246,0.998999599751924,1.03751780590868,1.00111537400705,0.0669797971760919,"swallows"
"7","tmb",2,0.9,"diag",0.129667400441444,177,306.604733943939,465.78537106514,11.1976380420259,1000,1000,16.335201500856,0.99899966696221,1.00438556853405,0.999417793344271,0.0240403386143699,"swallows"
"8","admb",2,0.9,"diag",0.122458,177,NA,527.52,155.978380910735,1000,1000,137.777614358384,0.998999507179024,1.01817185947415,0.999374098405484,0.295682402393719,"swallows"
"9","stan",3,0.9,"diag",0.142137559779567,177,258.292,414.003,209.325660350322,1000,1000,209.530854790148,0.998999512919052,1.01835773759163,0.999374170590883,0.505613873209427,"swallows"
"10","tmbstan",3,0.9,"diag",0.129378083580157,177,129.05,207.115,20.0428318625185,1000,1000,20.6933531183279,0.998999514676643,1.00836469517397,0.999687216996913,0.0967715127466309,"swallows"
"11","tmb",3,0.9,"diag",0.138372509633994,177,377.161745071411,576.964401006699,29.1687583111151,1000,1000,19.2866567317277,0.999002858401033,1.11358600096785,1.00078114119775,0.0505555598581488,"swallows"
"12","admb",3,0.9,"diag",0.13537,177,NA,581.360000000001,163.98360686565,1000,1000,153.332405805061,0.999000347395636,1.00759263860653,0.999402634533558,0.282068953601297,"swallows"
"13","stan",4,0.9,"diag",0.124755318164902,177,267.936,422.456,91.1709620699023,1000,1000,145.377841466712,0.998999508993178,1.0089478287228,0.999515602571606,0.215811734405245,"swallows"
"14","tmbstan",4,0.9,"diag",0.109900968746769,177,133.987,213.068,11.6495580849221,1000,1000,11.3071831696428,0.998999546938004,1.12748726271139,1.00083192844515,0.0546753059348287,"swallows"
"15","tmb",4,0.9,"diag",0.143287411403709,177,341.951813936234,540.909197092056,17.3631970959678,1000,1000,18.5464602881232,0.9989999285959,1.08478137425736,1.00097370543731,0.0321000219432631,"swallows"
"16","admb",4,0.9,"diag",0.138072,177,NA,550.309999999998,168.332374649026,1000,1000,181.262558185869,0.998999502737377,1.00890376383727,0.999305542977021,0.305886454269461,"swallows"
"17","stan",5,0.9,"diag",0.127769276218101,177,270.982,423.107,168.859017465463,1000,1000,176.602425992753,0.9989996025422,1.00623654886762,0.999310880860493,0.399092942129209,"swallows"
"18","tmbstan",5,0.9,"diag",0.114673782472566,177,114.177,166.999,17.5001432656455,1000,1000,15.4968581047891,0.998999988777292,1.07382760907998,1.00133307983563,0.104791904536228,"swallows"
"19","tmb",5,0.9,"diag",0.14258942469309,177,259.159474134445,451.937163114548,14.3881719508608,1000,1000,22.108781995523,0.99899959235101,1.01189691605255,0.999731391045953,0.0318366647515863,"swallows"
"20","admb",5,0.9,"diag",0.143764,177,NA,476.360000000001,134.916903800131,1000,1000,151.967456349575,0.999000720254719,1.02452376761051,0.999454131737705,0.283224669997756,"swallows"
"21","stan",6,0.9,"diag",0.13825789685713,177,229.494,375.85,163.411933804734,1000,1000,146.264063379696,0.9989995040935,1.01009474937634,0.999359295593293,0.434779656258438,"swallows"
"22","tmbstan",6,0.9,"diag",0.120415731508638,177,124.985,202.56,20.8022571569134,1000,1000,18.7085421729013,0.998999665606527,1.07689831643658,1.00062184103654,0.102696767164857,"swallows"
"23","tmb",6,0.9,"diag",0.151096603791789,177,265.919630050659,455.670881032944,30.6132993778821,1000,1000,22.2830825362535,0.998999657614064,1.11816832273033,1.00027489572659,0.0671829178737204,"swallows"
"24","admb",6,0.9,"diag",0.15298,177,NA,484.510000000002,142.893351925032,1000,1000,138.05283866125,0.998999566502609,1.00929114670261,0.999448964671951,0.294923431766178,"swallows"
"25","stan",7,0.9,"diag",0.122616415437197,177,195.964,350.291,166.110562918939,1000,1000,141.303017484493,0.998999635910637,1.01419362568237,0.999706513860402,0.474207338809558,"swallows"
"26","tmbstan",7,0.9,"diag",0.142185995850147,177,129.996,209.509,17.8832296219686,1000,1000,23.260169443467,0.999000449054289,1.01537006862108,1.00068638240357,0.0853578109864902,"swallows"
"27","tmb",7,0.9,"diag",0.134185403690513,177,363.515727043152,564.144739151001,20.1794789120591,1000,1000,15.0553602996634,0.998999499892847,1.00991356670803,1.0000232857254,0.0357700382749786,"swallows"
"28","admb",7,0.9,"diag",0.142208,177,NA,578.550000000003,185.452789762604,1000,1000,193.121443509249,0.99899949992247,1.00948445091212,0.99947839485526,0.320547558141221,"swallows"
"29","stan",8,0.9,"diag",0.148538299702088,177,257.113,415.147,174.22682457779,1000,1000,181.766359178952,0.998999500666836,1.01232422563464,0.99927665926718,0.419675017711292,"swallows"
"30","tmbstan",8,0.9,"diag",0.114118122728787,177,138.474,217.172,10.0411035864026,1000,1000,12.5617190060481,0.998999508682288,1.1054963505706,1.00029073988009,0.0462357190908709,"swallows"
"31","tmb",8,0.9,"diag",0.159309261260692,177,331.611184835434,528.42716884613,26.814723353894,1000,1000,21.5164007799087,0.998999500267177,1.01343305438996,0.999597265944151,0.0507444070531922,"swallows"
"32","admb",8,0.9,"diag",0.144773,177,NA,563.190000000002,169.432611549095,1000,1000,152.523356499861,0.998999875092442,1.04382941818221,0.999811758354606,0.300844495728075,"swallows"
"33","stan",9,0.9,"diag",0.132964044607328,177,287.629,442.552,157.657623592068,1000,1000,158.07656713154,0.99899955620108,1.00826561515178,0.999412831470726,0.356246550895868,"swallows"
"34","tmbstan",9,0.9,"diag",0.117104820405747,177,135.429,215.505,10.4334290744831,1000,1000,10.8025379564311,0.999006603926192,1.04890652613611,1.00160652008389,0.0484138608128959,"swallows"
"35","tmb",9,0.9,"diag",0.146593637612034,177,314.727790117264,514.102157115936,16.8330386080233,1000,1000,16.6248809797024,0.998999870208211,1.08016112274432,1.0008168801666,0.0327425947839921,"swallows"
"36","admb",9,0.9,"diag",0.134275,177,NA,573.720000000001,92.928902827082,358.302176115645,1000,115.516514595461,0.999000079383515,1.02877116907263,0.999841056023216,0.161976055962982,"swallows"
"37","stan",10,0.9,"diag",0.109096455307023,177,284.424,444.416,226.320164798098,1000,1000,198.821764531824,0.998999505750391,1.02878449641541,1.00006398864612,0.509252962985353,"swallows"
"38","tmbstan",10,0.9,"diag",0.125548874227085,177,138.153,217.788,14.2668413002786,1000,1000,10.258922555225,0.99899951813343,1.00890621995709,0.999668097704954,0.0655079311085945,"swallows"
"39","tmb",10,0.9,"diag",0.137133075948509,177,401.29373383522,565.126044988632,12.6673296261793,1000,1000,12.6715913703551,0.998999502973816,1.01867594551282,0.999314193160622,0.0224150518959608,"swallows"
"40","admb",10,0.9,"diag",0.1403,177,NA,424.57,105.556735451403,1000,1000,98.7809842727741,0.998999596508676,1.0114168457574,0.999462585892661,0.248620334577108,"swallows"
"41","stan",11,0.9,"diag",0.12300790905885,177,232.489,376.208,62.094910252099,1000,1000,99.8285932564118,0.998999504105109,1.03186610454778,0.999445281731865,0.165054731032033,"swallows"
"42","tmbstan",11,0.9,"diag",0.107717613939121,177,110.435,162.836,14.5457717561265,774.674704015419,1000,16.3866069719795,0.998999529098253,1.02142014694194,1.00008214746287,0.0893277392967557,"swallows"
"43","tmb",11,0.9,"diag",0.143363821943551,177,341.261495113373,529.859065055847,13.4653042487247,1000,1000,12.7311854275345,0.998999577824955,1.00523911693266,0.999249500550571,0.0254129921270771,"swallows"
"44","admb",11,0.9,"diag",0.140374,177,NA,453.75,155.911516566307,1000,1000,142.98290865187,0.998999809190939,1.00963694848919,0.999312273479286,0.343606648080014,"swallows"
"45","stan",12,0.9,"diag",0.103616480433104,177,190.48,304.616,166.56440764886,1000,1000,172.877845703548,0.998999499522464,1.0149030361477,0.999637570588819,0.54680124369324,"swallows"
"46","tmbstan",12,0.9,"diag",0.127969018054815,177,133.188,213.198,31.9193981007907,1000,1000,21.8871575231685,0.998999587758606,1.03591065384247,0.999503422948989,0.149717155417925,"swallows"
"47","tmb",12,0.9,"diag",0.132379645561947,177,332.243824958801,532.584334850311,16.8333342850616,1000,1000,17.3568079614673,0.999000541095525,1.11720878694814,1.00150672735437,0.0316068896202003,"swallows"
"48","admb",12,0.9,"diag",0.160874,177,NA,545.169999999998,212.407354625149,1000,1000,214.93984720828,0.998999506238909,1.02644957557609,0.999467515251436,0.389616733542106,"swallows"
"49","stan",13,0.9,"diag",0.127634338416932,177,294.529,454.24,160.775034337893,1000,1000,165.524085410855,0.998999499520124,1.00367423068109,0.999375823375609,0.353942925189091,"swallows"
"50","tmbstan",13,0.9,"diag",0.135129044121361,177,142.408,222.703,7.09934850223037,1000,1000,8.53098681382278,0.998999550242666,1.1168615151204,1.00121352145651,0.0318780999907068,"swallows"
"51","tmb",13,0.9,"diag",0.135921441872582,177,348.193758010864,542.327373027802,16.1936614001368,1000,1000,19.8804253544817,0.999000034759296,1.03604889213707,0.999852892075076,0.029859568602868,"swallows"
"52","admb",13,0.9,"diag",0.152281,177,NA,570.610000000001,174.330031428097,1000,1000,189.611908659666,0.998999537560656,1.00303958273786,0.999240284586109,0.305515205531092,"swallows"
