"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.9,"diag",0.0857882346942724,1101,71.329,115.533,149.548673611411,1000,1000,170.23988872903,0.998999499527312,1.00545406873076,0.999172650054514,1.2944238755283,"wildf"
"2","tmbstan",1,0.9,"diag",0.0941685472990091,1101,65.876,105.814,127.892779860861,1000,1000,124.593431680535,0.998999500458031,1.0098272500708,0.999207315736997,1.20865650916571,"wildf"
"3","tmb",1,0.9,"diag",0.0878790773363567,1101,195.611877202988,295.8319439888,132.973450843687,1000,1000,125.941978901441,0.998999499516441,1.00618204493599,0.999195135889701,0.449489832134968,"wildf"
"4","admb",1,0.9,"diag",0.0871603,1101,NA,226.08,140.553859442539,1000,1000,176.527315028898,0.998999507485181,1.00424808622137,0.999203548980512,0.62169966137004,"wildf"
"5","stan",2,0.9,"diag",0.0856914852135201,1101,65.86,110.095,115.333771201987,1000,1000,106.531044166469,0.998999499645619,1.01755202738448,0.999209309707912,1.0475840973885,"wildf"
"6","tmbstan",2,0.9,"diag",0.0845933619990382,1101,59.454,99.455,128.596876427336,1000,1000,127.152948118529,0.998999500015576,1.00782776909116,0.999208172516337,1.29301569983748,"wildf"
"7","tmb",2,0.9,"diag",0.0821015362499089,1101,182.658603906631,283.347404956818,95.2250513937642,1000,1000,104.855536561663,0.998999499839276,1.0427030826213,0.999217239116375,0.336071725831675,"wildf"
"8","admb",2,0.9,"diag",0.094487,1101,NA,226.42,129.593523037226,1000,1000,112.805775742628,0.998999499990126,1.01655695399676,0.999250278230545,0.572358992302915,"wildf"
"9","stan",3,0.9,"diag",0.0856104388693251,1101,71.704,115.548,58.4599738487672,1000,1000,117.412542430338,0.99899949980939,1.00963999881386,0.999205992743015,0.50593670032166,"wildf"
"10","tmbstan",3,0.9,"diag",0.0817735461058923,1101,60.922,100.938,118.220570375447,1000,1000,109.69192373182,0.998999499499376,1.0171906836575,0.999229788635296,1.1712196633126,"wildf"
"11","tmb",3,0.9,"diag",0.0962950091439695,1101,156.720772981644,256.003304004669,208.371862938981,1000,1000,180.521150196152,0.998999499754789,1.00726528469465,0.999278013640374,0.813942084650519,"wildf"
