"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,50,1000,0.835265970361915,0.8,0.574394192134935,0,0,7,7,0,"diag","zdiag"
"2","tmbstan",1,50,1000,0.876567266297152,0.8,0.505161594068842,0,0,7,7,0,"diag","zdiag"
"3","tmb",1,50,1000,0.816456673482264,0.8,0.608001412205708,0,0,7,7,0,"diag","zdiag"
"4","admb",1,50,1000,0.809698821,0.8,0.618333,0,0,7,7,0,"diag","zdiag"
"5","stan",2,50,1000,0.88597387030698,0.8,0.479595583745846,0,0,7,7,0,"diag","zdiag"
"6","tmbstan",2,50,1000,0.874335438962573,0.8,0.511682425994248,0,0,7,7,0,"diag","zdiag"
"7","tmb",2,50,1000,0.83386284812685,0.8,0.610937160743145,0,0,7,7,0,"diag","zdiag"
"8","admb",2,50,1000,0.815302056,0.8,0.628412,0,0,7,7,0,"diag","zdiag"
"9","stan",3,50,1000,0.843398605528546,0.8,0.539184756917573,0,0,7,7,0,"diag","zdiag"
"10","tmbstan",3,50,1000,0.866222876597075,0.8,0.515809407585719,0,0,7,7,0,"diag","zdiag"
"11","tmb",3,50,1000,0.82633138183096,0.8,0.614628598238991,0,0,7,7,0,"diag","zdiag"
"12","admb",3,50,1000,0.777560303,0.8,0.647669,0,0,6.996,7,0.126491106406735,"diag","zdiag"
"13","stan",4,50,1000,0.836793666194801,0.8,0.579628942027466,0,0,7,7,0,"diag","zdiag"
"14","tmbstan",4,50,1000,0.870383875761374,0.8,0.502966094185351,0,0,7,7,0,"diag","zdiag"
"15","tmb",4,50,1000,0.819652571646787,0.8,0.616932999227966,0,0,7,7,0,"diag","zdiag"
"16","admb",4,50,1000,0.826852051,0.8,0.600202,0,0,7,7,0,"diag","zdiag"
