"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,32,1000,0.872770220555736,0.8,0.557514377222269,0,0,6.996,7,0.126491106406735,"diag","zdiag"
"2","tmbstan",1,32,1000,0.873027886310953,0.8,0.560755670213964,0,0,7,7,0,"diag","zdiag"
"3","tmb",1,32,1000,0.790096258820904,0.8,0.71125489881486,0,0,6.948,7,0.453322734375303,"diag","zdiag"
"4","admb",1,32,1000,0.820443111,0.8,0.671447,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"5","stan",2,32,1000,0.88587069372678,0.8,0.52835547690656,0,0,7,7,0,"diag","zdiag"
"6","tmbstan",2,32,1000,0.884314620076088,0.8,0.533116651022651,0,0,7,7,0,"diag","zdiag"
"7","tmb",2,32,1000,0.835405403921981,0.8,0.671495892795146,0,0,6.988,7,0.218869604796792,"diag","zdiag"
"8","admb",2,32,1000,0.7897938076,0.8,0.701791,0,0,6.964,7,0.377950852422437,"diag","zdiag"
"9","stan",3,32,1000,0.886035588681331,0.8,0.543533755214274,0,0,7,7,0,"diag","zdiag"
"10","tmbstan",3,32,1000,0.89702026982323,0.8,0.513121266936951,0,0,7,7,0,"diag","zdiag"
"11","tmb",3,32,1000,0.825177520027394,0.8,0.668866341700198,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"12","admb",3,32,1000,0.8223494,0.8,0.672365,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"13","stan",4,32,1000,0.895820627213266,0.8,0.517312118110179,0,0,7,7,0,"diag","zdiag"
"14","tmbstan",4,32,1000,0.869620323434889,0.8,0.558064692466713,0,0,7,7,0,"diag","zdiag"
"15","tmb",4,32,1000,0.813735932099469,0.8,0.698453252418377,0,0,6.976,7,0.309062323034561,"diag","zdiag"
"16","admb",4,32,1000,0.814181217,0.8,0.698329,0,0,6.988,7,0.218869604796792,"diag","zdiag"
"17","stan",5,32,1000,0.887046433918354,0.8,0.523630594772214,0,0,7,7,0,"diag","zdiag"
"18","tmbstan",5,32,1000,0.820569955447679,0.8,0.636093170981939,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"19","tmb",5,32,1000,0.784152255011891,0.8,0.713952487986106,0,0,6.976,7,0.357143600742827,"diag","zdiag"
"20","admb",5,32,1000,0.83824088,0.8,0.646677,0,0,6.996,7,0.126491106406735,"diag","zdiag"
"21","stan",6,32,1000,0.893966639872215,0.8,0.501456977741777,0,0,7,7,0,"diag","zdiag"
"22","tmbstan",6,32,1000,0.846142810797743,0.8,0.596716991901114,0,0,7,7,0,"diag","zdiag"
"23","tmb",6,32,1000,0.832680386353687,0.8,0.664747700144164,0,0,7,7,0,"diag","zdiag"
"24","admb",6,32,1000,0.808309797,0.8,0.685124,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"25","stan",7,32,1000,0.901979991355772,0.8,0.489037310970165,0,0,7,7,0,"diag","zdiag"
"26","tmbstan",7,32,1000,0.875938258199323,0.8,0.554865327186724,0,0,7,7,0,"diag","zdiag"
"27","tmb",7,32,1000,0.815394255783874,0.8,0.669252760610906,0,0,6.992,7,0.178795883531943,"diag","zdiag"
"28","admb",7,32,1000,0.804812696,0.8,0.701524,0,0,6.972,7,0.333657500031585,"diag","zdiag"
"29","stan",8,32,1000,0.863284466684852,0.8,0.590863788723887,0,0,7,7,0,"diag","zdiag"
"30","tmbstan",8,32,1000,0.86560275544042,0.8,0.590909767283243,0,0,7,7,0,"diag","zdiag"
"31","tmb",8,32,1000,0.83299743892555,0.8,0.684098324445956,0,0,7.016,7,0.505964425626941,"diag","zdiag"
"32","admb",8,32,1000,0.823290591,0.8,0.671575,0,0,6.988,7,0.218869604796792,"diag","zdiag"
"33","stan",9,32,1000,0.874770092415765,0.8,0.552188893081463,0,0,7,7,0,"diag","zdiag"
"34","tmbstan",9,32,1000,0.868401813817512,0.8,0.570344723793818,0,0,7,7,0,"diag","zdiag"
"35","tmb",9,32,1000,0.816136675278542,0.8,0.689793898299229,0,0,6.984,7,0.252602074037027,"diag","zdiag"
"36","admb",9,32,1000,0.802120333,0.8,0.695192,0,0,6.968,7,0.356515221418529,"diag","zdiag"
"37","stan",10,32,1000,0.863032403678417,0.8,0.589825721843681,0,0,7,7,0,"diag","zdiag"
"38","tmbstan",10,32,1000,0.828181320426849,0.8,0.654108857752711,0,0,7,7,0,"diag","zdiag"
"39","tmb",10,32,1000,0.831040674996871,0.8,0.664338874567481,0,0,6.996,7,0.126491106406735,"diag","zdiag"
"40","admb",10,32,1000,0.812579051,0.8,0.673958,0,0,6.988,7,0.218869604796792,"diag","zdiag"
"41","stan",1,64,1000,0.871623773346039,0.8,0.470738096614612,0,0,7,7,0,"diag","zdiag"
"42","tmbstan",1,64,1000,0.892201610321374,0.8,0.428877653062985,0,0,12.848,7,11.4952615036387,"diag","zdiag"
"43","tmb",1,64,1000,0.824529162084833,0.8,0.574111774350103,0,0,7,7,0,"diag","zdiag"
"44","admb",1,64,1000,0.816720918,0.8,0.579869,0,0,7,7,0,"diag","zdiag"
"45","stan",2,64,1000,0.865856511796421,0.8,0.503080382039208,0,0,7,7,0,"diag","zdiag"
"46","tmbstan",2,64,1000,0.863137567433984,0.8,0.479534407811814,0,0,7,7,0,"diag","zdiag"
"47","tmb",2,64,1000,0.807029304743769,0.8,0.609143079943775,0,0,7,7,0,"diag","zdiag"
"48","admb",2,64,1000,0.822348151,0.8,0.578856,0,0,7,7,0,"diag","zdiag"
"49","stan",3,64,1000,0.8715485884572,0.8,0.477898230450568,0,0,7,7,0,"diag","zdiag"
"50","tmbstan",3,64,1000,0.871439210148975,0.8,0.470425914985369,0,0,7,7,0,"diag","zdiag"
"51","tmb",3,64,1000,0.798722376605021,0.8,0.604419949506929,0,0,7,7,0,"diag","zdiag"
"52","admb",3,64,1000,0.820370459,0.8,0.556591,0,0,7,7,0,"diag","zdiag"
"53","stan",4,64,1000,0.865735997802832,0.8,0.484814235167681,0,0,7,7,0,"diag","zdiag"
"54","tmbstan",4,64,1000,0.856134512324404,0.8,0.505883630813748,0,0,7,7,0,"diag","zdiag"
"55","tmb",4,64,1000,0.830090190927635,0.8,0.571575482027177,0,0,7,7,0,"diag","zdiag"
"56","admb",4,64,1000,0.784058476,0.8,0.604536,0,0,7,7,0,"diag","zdiag"
"57","stan",5,64,1000,0.88077574162766,0.8,0.449974910427424,0,0,7.064,7,0.713030442837059,"diag","zdiag"
"58","tmbstan",5,64,1000,0.859663339711293,0.8,0.501540450836289,0,0,7,7,0,"diag","zdiag"
"59","tmb",5,64,1000,0.809080775176746,0.8,0.565708516926158,0,0,7,7,0,"diag","zdiag"
"60","admb",5,64,1000,0.820205568,0.8,0.573309,0,0,7,7,0,"diag","zdiag"
"61","stan",6,64,1000,0.860308825937754,0.8,0.49193782385997,0,0,7,7,0,"diag","zdiag"
"62","tmbstan",6,64,1000,0.883731884863886,0.8,0.455443349878021,0,0,7.048,7,0.618124646069123,"diag","zdiag"
"63","tmb",6,64,1000,0.805524767549964,0.8,0.59341993516337,0,0,7.024,7,0.758946638440411,"diag","zdiag"
