"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.8,"diag",0.557514377222269,32,0.235,0.282,344.998562783468,1000,1000,346.316028267194,0.999000068504393,1.00186624881801,0.999174008824494,1223.39915880662,"zdiag"
"2","tmbstan",1,0.8,"diag",0.560755670213964,32,0.313,0.438,380.574998858853,1000,1000,349.775410581757,0.998999536951849,1.00228541719332,0.999134215449829,868.89269145857,"zdiag"
"3","tmb",1,0.8,"diag",0.663235642968914,32,3.09503507614136,4.4333381652832,276.760860329983,1000,1000,256.433687475962,0.998999579186374,0.999924137707385,0.999125063880562,62.4271936883261,"zdiag"
"4","admb",1,0.8,"diag",0.694604,32,NA,1.64,258.31723671678,1000,1000,228.462421088105,0.998999769664911,1.0027518164335,0.99932478398433,157.510510193159,"zdiag"
"5","stan",2,0.8,"diag",0.52835547690656,32,0.172,0.25,468.503421925117,1000,1000,572.87569320806,0.99899996666673,1.00188452200408,0.99922098221573,1874.01368770047,"zdiag"
"6","tmbstan",2,0.8,"diag",0.533116651022651,32,0.375,0.485,307.333778643407,1000,1000,325.944461850428,0.999000953930602,1.00703769538543,0.999240405307335,633.677894110118,"zdiag"
"7","tmb",2,0.8,"diag",0.699406776464963,32,3.11658787727356,4.51801204681396,248.772520719059,1000,1000,224.807050818263,0.998999661186901,1.00133353130526,0.999199462260742,55.0623854344278,"zdiag"
"8","admb",2,0.8,"diag",0.692695,32,NA,1.53,189.337569856747,1000,1000,240.756072116714,0.999001316547293,1.0018633479252,0.999133658495758,123.750045658005,"zdiag"
"9","stan",3,0.8,"diag",0.543533755214274,32,0.234,0.297,378.614374227519,1000,1000,362.55205717114,0.999007270566315,1.00191118567996,0.999437971994869,1274.79587281993,"zdiag"
"10","tmbstan",3,0.8,"diag",0.513121266936951,32,0.328,0.438,466.293659389352,1000,1000,472.254164685285,0.998999863052468,1.00636252779734,0.999514738752369,1064.5973958661,"zdiag"
"11","tmb",3,0.8,"diag",0.683095905759525,32,2.86019492149353,4.12634801864624,226.706354640904,1000,1000,238.520631199445,0.999001431314279,1.00645029482034,0.999226844030539,54.9411619224694,"zdiag"
"12","admb",3,0.8,"diag",0.691161,32,NA,1.53,242.327361902567,1000,1000,254.612305728378,0.998999499619072,1.00073055885758,0.9991273803526,158.383896668344,"zdiag"
